  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 23024                                      
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.2109   0.01073   0.00429   0.0222   0.5936   0.5167
  -1.750  -0.1860   0.01066   0.00425   0.0229   0.5828   0.5270
  -1.500  -0.1596   0.01066   0.00421   0.0234   0.5716   0.5376
  -1.250  -0.1342   0.01061   0.00419   0.0240   0.5614   0.5483
  -1.000  -0.1076   0.01061   0.00417   0.0244   0.5506   0.5591
  -0.750  -0.0820   0.01059   0.00416   0.0249   0.5407   0.5702
  -0.500  -0.0551   0.01059   0.00415   0.0253   0.5303   0.5814
  -0.250  -0.0294   0.01059   0.00415   0.0258   0.5202   0.5926
   0.000  -0.0022   0.01059   0.00416   0.0260   0.5105   0.6044
   0.250   0.0234   0.01061   0.00417   0.0266   0.5004   0.6162
   0.500   0.0508   0.01062   0.00419   0.0267   0.4910   0.6280
   0.750   0.0767   0.01064   0.00422   0.0272   0.4810   0.6402
   1.000   0.1039   0.01067   0.00426   0.0274   0.4718   0.6525
   1.250   0.1301   0.01069   0.00430   0.0278   0.4621   0.6652
   1.500   0.1569   0.01074   0.00435   0.0281   0.4531   0.6777
   1.750   0.1834   0.01077   0.00441   0.0284   0.4436   0.6910
   2.000   0.2097   0.01084   0.00448   0.0288   0.4345   0.7038
   2.250   0.2365   0.01088   0.00455   0.0290   0.4253   0.7175
   2.500   0.2622   0.01097   0.00464   0.0295   0.4161   0.7306
   3.000   0.3148   0.01112   0.00483   0.0301   0.3981   0.7583
   3.250   0.3415   0.01118   0.00493   0.0304   0.3897   0.7721
   3.500   0.3671   0.01130   0.00505   0.0308   0.3807   0.7868
   3.750   0.3931   0.01139   0.00520   0.0312   0.3722   0.8006
   4.000   0.4187   0.01152   0.00533   0.0316   0.3632   0.8149
   4.250   0.4438   0.01167   0.00550   0.0321   0.3549   0.8292
   4.500   0.4694   0.01180   0.00566   0.0325   0.3463   0.8426
   4.750   0.4933   0.01201   0.00584   0.0332   0.3378   0.8568
   5.000   0.5189   0.01214   0.00603   0.0336   0.3297   0.8695
   5.250   0.5415   0.01239   0.00624   0.0345   0.3214   0.8831
   5.500   0.5668   0.01254   0.00645   0.0350   0.3139   0.8957
   5.750   0.5893   0.01280   0.00668   0.0359   0.3061   0.9084
   6.000   0.6128   0.01303   0.00694   0.0366   0.2992   0.9214
