  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 2424                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.1161   0.01116   0.00449  -0.0206   0.6354   0.4013
  -1.500  -0.0631   0.01105   0.00439  -0.0200   0.6176   0.4245
  -1.250  -0.0365   0.01104   0.00435  -0.0197   0.6090   0.4365
  -1.000  -0.0096   0.01096   0.00432  -0.0194   0.6008   0.4499
  -0.750   0.0168   0.01092   0.00429  -0.0191   0.5922   0.4635
  -0.250   0.0706   0.01084   0.00427  -0.0186   0.5762   0.4931
   0.000   0.0970   0.01084   0.00427  -0.0183   0.5683   0.5087
   0.250   0.1244   0.01080   0.00428  -0.0181   0.5608   0.5250
   0.500   0.1513   0.01079   0.00430  -0.0179   0.5530   0.5422
   0.750   0.1778   0.01081   0.00433  -0.0176   0.5454   0.5592
   1.000   0.2051   0.01077   0.00436  -0.0175   0.5383   0.5762
   1.250   0.2322   0.01079   0.00439  -0.0173   0.5307   0.5930
   1.500   0.2589   0.01083   0.00444  -0.0170   0.5235   0.6104
   1.750   0.2861   0.01080   0.00450  -0.0168   0.5163   0.6272
   2.000   0.3129   0.01084   0.00454  -0.0166   0.5089   0.6437
   2.250   0.3399   0.01090   0.00462  -0.0164   0.5020   0.6607
   2.500   0.3668   0.01089   0.00469  -0.0162   0.4948   0.6779
   2.750   0.3932   0.01095   0.00476  -0.0159   0.4876   0.6946
   3.000   0.4200   0.01101   0.00485  -0.0157   0.4809   0.7119
   3.250   0.4466   0.01103   0.00494  -0.0154   0.4737   0.7299
   3.500   0.4722   0.01111   0.00504  -0.0149   0.4666   0.7474
   3.750   0.4986   0.01116   0.00515  -0.0146   0.4599   0.7654
   4.000   0.5247   0.01122   0.00526  -0.0143   0.4527   0.7843
   4.250   0.5494   0.01135   0.00539  -0.0137   0.4456   0.8036
   4.500   0.5752   0.01140   0.00554  -0.0132   0.4389   0.8230
   4.750   0.5999   0.01150   0.00569  -0.0125   0.4317   0.8421
   5.000   0.6235   0.01167   0.00586  -0.0117   0.4248   0.8612
   5.250   0.6484   0.01175   0.00602  -0.0111   0.4182   0.8804
   5.500   0.6714   0.01191   0.00619  -0.0101   0.4111   0.8999
   5.750   0.6944   0.01211   0.00642  -0.0091   0.4045   0.9190
   6.000   0.7191   0.01231   0.00669  -0.0084   0.3974   0.9365
