  
       XFOIL         Version 6.99
  
 Calculated polar for: NASA/AMES 63A108 MOD C AIRFOIL                  
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.2067   0.00778   0.00221  -0.0057   1.0000   0.2557
  -1.750  -0.1741   0.00673   0.00206  -0.0074   0.9897   0.4894
  -1.500  -0.1412   0.00628   0.00208  -0.0084   0.9768   0.6193
  -1.250  -0.1165   0.00618   0.00219  -0.0073   0.9578   0.6869
  -1.000  -0.0959   0.00614   0.00227  -0.0051   0.9404   0.7355
  -0.750  -0.0737   0.00607   0.00230  -0.0032   0.9261   0.7776
  -0.500  -0.0510   0.00596   0.00230  -0.0016   0.9132   0.8172
  -0.250  -0.0291   0.00581   0.00229   0.0004   0.8994   0.8638
   0.000  -0.0082   0.00564   0.00224   0.0028   0.8854   0.9184
   0.250   0.0259   0.00549   0.00213   0.0021   0.8712   0.9811
   0.500   0.0608   0.00546   0.00204   0.0008   0.8544   1.0000
   0.750   0.0875   0.00547   0.00196   0.0013   0.8356   1.0000
   1.000   0.1145   0.00550   0.00190   0.0017   0.8128   1.0000
   1.250   0.1416   0.00555   0.00185   0.0022   0.7852   1.0000
   1.500   0.1687   0.00565   0.00180   0.0026   0.7473   1.0000
   1.750   0.1960   0.00583   0.00177   0.0029   0.6949   1.0000
   2.000   0.2236   0.00612   0.00177   0.0031   0.6187   1.0000
   2.250   0.2515   0.00662   0.00183   0.0030   0.5121   1.0000
   2.500   0.2797   0.00720   0.00195   0.0027   0.3999   1.0000
   2.750   0.3082   0.00773   0.00210   0.0023   0.3096   1.0000
   3.000   0.3367   0.00817   0.00226   0.0019   0.2467   1.0000
   3.250   0.3652   0.00855   0.00243   0.0016   0.1998   1.0000
   3.500   0.3938   0.00890   0.00260   0.0014   0.1637   1.0000
   3.750   0.4223   0.00923   0.00280   0.0011   0.1360   1.0000
   4.000   0.4508   0.00956   0.00301   0.0009   0.1145   1.0000
   4.250   0.4792   0.00990   0.00325   0.0007   0.0975   1.0000
   4.500   0.5076   0.01022   0.00350   0.0006   0.0842   1.0000
   4.750   0.5359   0.01058   0.00380   0.0004   0.0737   1.0000
   5.000   0.5641   0.01092   0.00410   0.0003   0.0652   1.0000
   5.250   0.5923   0.01127   0.00442   0.0002   0.0583   1.0000
   5.500   0.6203   0.01165   0.00477   0.0001   0.0525   1.0000
   5.750   0.6482   0.01206   0.00517  -0.0000   0.0478   1.0000
   6.000   0.6759   0.01250   0.00560  -0.0001   0.0438   1.0000
