  
       XFOIL         Version 6.99
  
 Calculated polar for: AG03 (flat aft bottom)                          
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.0272   0.00850   0.00235  -0.0349   0.9853   0.0137
  -1.750   0.0089   0.00766   0.00187  -0.0367   0.9769   0.1070
  -1.500   0.0439   0.00712   0.00173  -0.0384   0.9659   0.2146
  -1.250   0.0738   0.00590   0.00160  -0.0394   0.9513   0.5436
  -1.000   0.0926   0.00482   0.00160  -0.0368   0.9326   0.8666
  -0.750   0.1371   0.00466   0.00148  -0.0397   0.9146   1.0000
  -0.500   0.1622   0.00470   0.00138  -0.0387   0.8879   1.0000
  -0.250   0.1872   0.00476   0.00128  -0.0377   0.8594   1.0000
   0.000   0.2124   0.00486   0.00120  -0.0368   0.8296   1.0000
   0.250   0.2381   0.00497   0.00115  -0.0361   0.7989   1.0000
   0.500   0.2641   0.00510   0.00111  -0.0355   0.7675   1.0000
   0.750   0.2902   0.00525   0.00109  -0.0349   0.7362   1.0000
   1.000   0.3166   0.00540   0.00108  -0.0344   0.7043   1.0000
   1.250   0.3430   0.00557   0.00109  -0.0340   0.6725   1.0000
   1.500   0.3697   0.00574   0.00113  -0.0337   0.6403   1.0000
   1.750   0.3963   0.00593   0.00116  -0.0333   0.6073   1.0000
   2.000   0.4230   0.00612   0.00121  -0.0330   0.5731   1.0000
   2.250   0.4497   0.00633   0.00128  -0.0328   0.5387   1.0000
   2.500   0.4764   0.00655   0.00136  -0.0325   0.5036   1.0000
   2.750   0.5031   0.00679   0.00147  -0.0323   0.4675   1.0000
   3.000   0.5298   0.00704   0.00158  -0.0321   0.4318   1.0000
   3.250   0.5564   0.00732   0.00171  -0.0319   0.3970   1.0000
   3.500   0.5831   0.00759   0.00185  -0.0317   0.3624   1.0000
   3.750   0.6098   0.00788   0.00204  -0.0316   0.3305   1.0000
   4.000   0.6364   0.00817   0.00222  -0.0314   0.2997   1.0000
   4.250   0.6630   0.00848   0.00242  -0.0313   0.2709   1.0000
   4.500   0.6896   0.00878   0.00264  -0.0311   0.2449   1.0000
   5.000   0.7425   0.00945   0.00315  -0.0308   0.1935   1.0000
   5.250   0.7688   0.00979   0.00342  -0.0307   0.1704   1.0000
   5.500   0.7950   0.01017   0.00373  -0.0305   0.1466   1.0000
   5.750   0.8210   0.01058   0.00409  -0.0303   0.1255   1.0000
   6.000   0.8467   0.01105   0.00447  -0.0301   0.1047   1.0000
