  
       XFOIL         Version 6.99
  
 Calculated polar for: AG17                                            
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.0042   0.00681   0.00170  -0.0509   0.9937   0.2902
  -1.750   0.0427   0.00649   0.00161  -0.0533   0.9864   0.3665
  -1.500   0.0796   0.00620   0.00153  -0.0552   0.9766   0.4375
  -1.250   0.1150   0.00595   0.00145  -0.0568   0.9635   0.5043
  -0.750   0.1745   0.00535   0.00135  -0.0570   0.9231   0.6768
  -0.500   0.1955   0.00488   0.00131  -0.0549   0.8972   0.8248
  -0.250   0.2229   0.00463   0.00121  -0.0540   0.8699   1.0000
   0.000   0.2488   0.00474   0.00115  -0.0532   0.8409   1.0000
   0.250   0.2752   0.00486   0.00112  -0.0526   0.8104   1.0000
   0.500   0.3017   0.00500   0.00110  -0.0520   0.7793   1.0000
   0.750   0.3285   0.00515   0.00109  -0.0516   0.7480   1.0000
   1.000   0.3554   0.00531   0.00110  -0.0512   0.7162   1.0000
   1.250   0.3825   0.00549   0.00112  -0.0508   0.6840   1.0000
   1.500   0.4096   0.00567   0.00117  -0.0505   0.6504   1.0000
   1.750   0.4367   0.00587   0.00121  -0.0502   0.6156   1.0000
   2.000   0.4638   0.00608   0.00127  -0.0500   0.5803   1.0000
   2.250   0.4909   0.00631   0.00135  -0.0498   0.5442   1.0000
   2.500   0.5181   0.00655   0.00145  -0.0496   0.5069   1.0000
   2.750   0.5452   0.00680   0.00157  -0.0494   0.4696   1.0000
   3.000   0.5723   0.00707   0.00170  -0.0492   0.4325   1.0000
   3.250   0.5993   0.00736   0.00185  -0.0491   0.3957   1.0000
   3.500   0.6263   0.00765   0.00202  -0.0489   0.3604   1.0000
   3.750   0.6532   0.00797   0.00222  -0.0488   0.3257   1.0000
   4.000   0.6802   0.00828   0.00242  -0.0486   0.2938   1.0000
   4.250   0.7070   0.00862   0.00265  -0.0485   0.2615   1.0000
   4.500   0.7338   0.00896   0.00289  -0.0484   0.2320   1.0000
   4.750   0.7604   0.00933   0.00317  -0.0482   0.2018   1.0000
   5.000   0.7870   0.00971   0.00346  -0.0480   0.1750   1.0000
   5.250   0.8134   0.01013   0.00378  -0.0479   0.1479   1.0000
   5.500   0.8396   0.01058   0.00414  -0.0477   0.1222   1.0000
   5.750   0.8657   0.01105   0.00452  -0.0475   0.0982   1.0000
   6.000   0.8917   0.01153   0.00498  -0.0473   0.0781   1.0000
