  
       XFOIL         Version 6.99
  
 Calculated polar for: AG44ct -02f                                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.0116   0.00719   0.00178  -0.0390   0.9100   0.2231
  -1.750   0.0136   0.00679   0.00161  -0.0383   0.8586   0.3392
  -1.500   0.0371   0.00637   0.00151  -0.0373   0.8150   0.4883
  -1.250   0.0602   0.00594   0.00146  -0.0362   0.7841   0.6475
  -1.000   0.0812   0.00551   0.00145  -0.0343   0.7614   0.8023
  -0.750   0.1127   0.00528   0.00144  -0.0342   0.7432   0.9657
  -0.500   0.1519   0.00536   0.00135  -0.0365   0.7265   1.0000
  -0.250   0.1786   0.00548   0.00132  -0.0362   0.7122   1.0000
   0.000   0.2056   0.00558   0.00131  -0.0358   0.6985   1.0000
   0.250   0.2328   0.00565   0.00129  -0.0356   0.6841   1.0000
   0.500   0.2600   0.00571   0.00127  -0.0353   0.6686   1.0000
   0.750   0.2873   0.00577   0.00125  -0.0350   0.6510   1.0000
   1.000   0.3144   0.00585   0.00123  -0.0347   0.6320   1.0000
   1.250   0.3416   0.00594   0.00123  -0.0344   0.6108   1.0000
   1.500   0.3686   0.00605   0.00124  -0.0342   0.5882   1.0000
   1.750   0.3956   0.00619   0.00126  -0.0339   0.5638   1.0000
   2.000   0.4225   0.00634   0.00130  -0.0336   0.5373   1.0000
   2.250   0.4495   0.00651   0.00136  -0.0333   0.5100   1.0000
   2.500   0.4764   0.00670   0.00143  -0.0331   0.4821   1.0000
   2.750   0.5033   0.00690   0.00152  -0.0329   0.4541   1.0000
   3.000   0.5302   0.00711   0.00163  -0.0327   0.4268   1.0000
   3.250   0.5571   0.00733   0.00176  -0.0325   0.4009   1.0000
   3.500   0.5840   0.00757   0.00189  -0.0323   0.3756   1.0000
   3.750   0.6108   0.00781   0.00204  -0.0321   0.3518   1.0000
   4.000   0.6377   0.00805   0.00222  -0.0319   0.3282   1.0000
   4.250   0.6646   0.00830   0.00240  -0.0317   0.3060   1.0000
   4.500   0.6913   0.00856   0.00259  -0.0316   0.2846   1.0000
   4.750   0.7180   0.00883   0.00280  -0.0314   0.2637   1.0000
   5.000   0.7447   0.00911   0.00304  -0.0312   0.2435   1.0000
   5.250   0.7712   0.00941   0.00328  -0.0310   0.2233   1.0000
   5.500   0.7977   0.00971   0.00354  -0.0309   0.2042   1.0000
   5.750   0.8241   0.01005   0.00382  -0.0307   0.1845   1.0000
   6.000   0.8503   0.01039   0.00413  -0.0305   0.1658   1.0000
