  
       XFOIL         Version 6.99
  
 Calculated polar for: AG47c -03f                                      
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.2002   0.01028   0.00430  -0.0203   1.0000   0.0167
  -1.750  -0.1727   0.00949   0.00345  -0.0200   1.0000   0.0180
  -1.500  -0.1450   0.00896   0.00286  -0.0198   1.0000   0.0207
  -1.250  -0.1173   0.00827   0.00215  -0.0196   1.0000   0.0296
  -1.000  -0.0896   0.00773   0.00169  -0.0194   1.0000   0.0566
  -0.750  -0.0622   0.00718   0.00148  -0.0195   1.0000   0.1360
  -0.500  -0.0352   0.00652   0.00134  -0.0196   1.0000   0.2835
  -0.250  -0.0066   0.00549   0.00127  -0.0204   0.9916   0.5623
   0.000   0.0231   0.00441   0.00126  -0.0201   0.9179   0.8951
   0.250   0.0564   0.00456   0.00112  -0.0204   0.8207   1.0000
   0.500   0.0817   0.00479   0.00105  -0.0195   0.7763   1.0000
   0.750   0.1083   0.00497   0.00102  -0.0191   0.7509   1.0000
   1.000   0.1353   0.00512   0.00101  -0.0187   0.7317   1.0000
   1.250   0.1625   0.00527   0.00103  -0.0185   0.7152   1.0000
   1.500   0.1898   0.00543   0.00106  -0.0182   0.7009   1.0000
   1.750   0.2175   0.00548   0.00107  -0.0180   0.6837   1.0000
   2.000   0.2452   0.00553   0.00107  -0.0178   0.6654   1.0000
   2.250   0.2729   0.00558   0.00107  -0.0176   0.6437   1.0000
   2.500   0.3004   0.00566   0.00106  -0.0174   0.6173   1.0000
   2.750   0.3277   0.00578   0.00106  -0.0172   0.5850   1.0000
   3.000   0.3550   0.00595   0.00110  -0.0169   0.5477   1.0000
   3.250   0.3821   0.00617   0.00115  -0.0167   0.5016   1.0000
   3.500   0.4091   0.00644   0.00125  -0.0166   0.4517   1.0000
   3.750   0.4361   0.00677   0.00136  -0.0164   0.3938   1.0000
   4.000   0.4629   0.00716   0.00151  -0.0164   0.3325   1.0000
   4.250   0.4898   0.00757   0.00169  -0.0163   0.2745   1.0000
   4.500   0.5166   0.00803   0.00193  -0.0163   0.2156   1.0000
   4.750   0.5434   0.00848   0.00218  -0.0163   0.1686   1.0000
   5.000   0.5704   0.00888   0.00245  -0.0162   0.1347   1.0000
   5.250   0.5973   0.00928   0.00274  -0.0162   0.1093   1.0000
   5.500   0.6242   0.00969   0.00309  -0.0161   0.0914   1.0000
   5.750   0.6511   0.01007   0.00344  -0.0160   0.0779   1.0000
   6.000   0.6780   0.01048   0.00383  -0.0158   0.0664   1.0000
