  
       XFOIL         Version 6.99
  
 Calculated polar for: AG47ct  -02f rot.                               
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.1002   0.00797   0.00183  -0.0212   1.0000   0.0407
  -1.750  -0.0732   0.00743   0.00153  -0.0210   1.0000   0.0972
  -1.500  -0.0464   0.00688   0.00137  -0.0210   1.0000   0.2044
  -1.250  -0.0200   0.00606   0.00126  -0.0212   1.0000   0.4126
  -1.000   0.0040   0.00498   0.00124  -0.0207   1.0000   0.7114
  -0.750   0.0313   0.00427   0.00122  -0.0196   1.0000   1.0000
  -0.500   0.0632   0.00428   0.00117  -0.0205   0.9936   1.0000
  -0.250   0.1084   0.00430   0.00109  -0.0241   0.9496   1.0000
   0.000   0.1388   0.00444   0.00098  -0.0240   0.8563   1.0000
   0.250   0.1623   0.00474   0.00093  -0.0226   0.7838   1.0000
   0.500   0.1881   0.00497   0.00093  -0.0219   0.7445   1.0000
   0.750   0.2146   0.00517   0.00095  -0.0215   0.7175   1.0000
   1.000   0.2415   0.00534   0.00099  -0.0211   0.6951   1.0000
   1.250   0.2689   0.00544   0.00102  -0.0208   0.6685   1.0000
   1.500   0.2960   0.00555   0.00103  -0.0205   0.6366   1.0000
   1.750   0.3230   0.00571   0.00105  -0.0202   0.5984   1.0000
   2.000   0.3499   0.00592   0.00108  -0.0199   0.5522   1.0000
   2.250   0.3767   0.00617   0.00114  -0.0196   0.5014   1.0000
   2.500   0.4034   0.00649   0.00124  -0.0194   0.4422   1.0000
   2.750   0.4301   0.00683   0.00136  -0.0192   0.3846   1.0000
   3.000   0.4568   0.00723   0.00150  -0.0191   0.3216   1.0000
   3.250   0.4835   0.00761   0.00168  -0.0190   0.2671   1.0000
   3.500   0.5103   0.00800   0.00188  -0.0189   0.2205   1.0000
   3.750   0.5371   0.00840   0.00212  -0.0188   0.1789   1.0000
   4.000   0.5640   0.00876   0.00236  -0.0186   0.1466   1.0000
   4.250   0.5909   0.00914   0.00263  -0.0185   0.1205   1.0000
   4.500   0.6177   0.00951   0.00293  -0.0184   0.1001   1.0000
   4.750   0.6446   0.00988   0.00327  -0.0182   0.0849   1.0000
   5.000   0.6713   0.01026   0.00362  -0.0181   0.0721   1.0000
   5.250   0.6980   0.01067   0.00403  -0.0179   0.0619   1.0000
   5.500   0.7245   0.01115   0.00450  -0.0177   0.0528   1.0000
   5.750   0.7509   0.01164   0.00501  -0.0175   0.0443   1.0000
   6.000   0.7774   0.01207   0.00551  -0.0172   0.0391   1.0000
