  
       XFOIL         Version 6.99
  
 Calculated polar for: AH-6-40-7 AIRFOIL                               
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.4693   0.00974   0.00402  -0.1532   0.8973   0.0492
  -1.750   0.4974   0.00943   0.00363  -0.1530   0.8879   0.0503
  -1.250   0.5538   0.00890   0.00297  -0.1527   0.8678   0.0518
  -1.000   0.5825   0.00861   0.00263  -0.1527   0.8573   0.0533
  -0.750   0.6109   0.00842   0.00240  -0.1526   0.8467   0.0569
  -0.500   0.6393   0.00831   0.00224  -0.1525   0.8359   0.0608
   0.000   0.6964   0.00789   0.00214  -0.1527   0.8106   0.2117
   0.250   0.7243   0.00783   0.00214  -0.1526   0.7959   0.2588
   0.500   0.7523   0.00775   0.00217  -0.1526   0.7803   0.3207
   0.750   0.7806   0.00752   0.00225  -0.1528   0.7635   0.4647
   1.000   0.8010   0.00656   0.00225  -0.1510   0.7459   1.0000
   1.250   0.8282   0.00671   0.00226  -0.1507   0.7258   1.0000
   1.500   0.8553   0.00687   0.00230  -0.1504   0.7022   1.0000
   1.750   0.8820   0.00707   0.00235  -0.1501   0.6752   1.0000
   2.000   0.9083   0.00731   0.00243  -0.1497   0.6449   1.0000
   2.250   0.9345   0.00758   0.00254  -0.1493   0.6119   1.0000
   2.500   0.9603   0.00790   0.00267  -0.1488   0.5761   1.0000
   2.750   0.9859   0.00825   0.00283  -0.1484   0.5389   1.0000
   3.000   1.0113   0.00862   0.00303  -0.1479   0.5031   1.0000
   3.250   1.0368   0.00899   0.00323  -0.1476   0.4707   1.0000
   3.500   1.0624   0.00935   0.00346  -0.1472   0.4426   1.0000
   3.750   1.0880   0.00971   0.00370  -0.1468   0.4187   1.0000
   4.000   1.1139   0.01003   0.00394  -0.1465   0.3981   1.0000
   4.250   1.1396   0.01035   0.00419  -0.1462   0.3808   1.0000
   4.500   1.1653   0.01068   0.00446  -0.1458   0.3646   1.0000
   4.750   1.1909   0.01100   0.00473  -0.1454   0.3492   1.0000
   5.000   1.2164   0.01131   0.00500  -0.1451   0.3348   1.0000
   5.250   1.2419   0.01161   0.00526  -0.1447   0.3178   1.0000
   5.500   1.2668   0.01197   0.00555  -0.1443   0.2967   1.0000
   5.750   1.2916   0.01232   0.00584  -0.1438   0.2801   1.0000
   6.000   1.3167   0.01264   0.00614  -0.1434   0.2650   1.0000
