  
       XFOIL         Version 6.99
  
 Calculated polar for: AH 79-100 C AIRFOIL                             
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.6809   0.00896   0.00287  -0.2159   0.8342   0.0717
  -1.750   0.7105   0.00879   0.00274  -0.2164   0.8285   0.0914
  -1.500   0.7396   0.00862   0.00266  -0.2168   0.8228   0.1307
  -1.250   0.7664   0.00849   0.00265  -0.2167   0.8164   0.1883
  -1.000   0.7978   0.00837   0.00263  -0.2177   0.8113   0.2500
  -0.750   0.8223   0.00826   0.00269  -0.2171   0.8044   0.3132
  -0.500   0.8519   0.00816   0.00270  -0.2176   0.7987   0.3864
   0.000   0.9048   0.00783   0.00288  -0.2173   0.7865   0.6090
   0.250   0.9283   0.00755   0.00304  -0.2163   0.7809   0.7975
   0.500   0.9458   0.00729   0.00301  -0.2137   0.7741   1.0000
   0.750   0.9753   0.00739   0.00301  -0.2141   0.7684   1.0000
   1.000   0.9997   0.00748   0.00306  -0.2134   0.7616   1.0000
   1.250   1.0281   0.00758   0.00309  -0.2135   0.7560   1.0000
   1.500   1.0534   0.00768   0.00315  -0.2130   0.7495   1.0000
   1.750   1.0798   0.00777   0.00320  -0.2127   0.7427   1.0000
   2.000   1.1053   0.00788   0.00328  -0.2123   0.7358   1.0000
   2.250   1.1310   0.00798   0.00334  -0.2119   0.7291   1.0000
   2.500   1.1571   0.00810   0.00343  -0.2115   0.7228   1.0000
   2.750   1.1813   0.00820   0.00352  -0.2108   0.7149   1.0000
   3.000   1.2058   0.00832   0.00362  -0.2101   0.7071   1.0000
   3.250   1.2302   0.00844   0.00370  -0.2094   0.6988   1.0000
   3.500   1.2527   0.00855   0.00382  -0.2083   0.6897   1.0000
   3.750   1.2764   0.00869   0.00394  -0.2075   0.6807   1.0000
   4.000   1.2990   0.00882   0.00407  -0.2064   0.6715   1.0000
   4.250   1.3218   0.00895   0.00421  -0.2054   0.6627   1.0000
   4.500   1.3448   0.00912   0.00436  -0.2044   0.6537   1.0000
   4.750   1.3653   0.00926   0.00452  -0.2030   0.6426   1.0000
   5.000   1.3829   0.00944   0.00467  -0.2008   0.6285   1.0000
   5.250   1.3988   0.00966   0.00485  -0.1983   0.6120   1.0000
   5.500   1.4137   0.00991   0.00507  -0.1956   0.5928   1.0000
   5.750   1.4290   0.01021   0.00532  -0.1931   0.5730   1.0000
   6.000   1.4421   0.01059   0.00562  -0.1901   0.5490   1.0000
