  
       XFOIL         Version 6.99
  
 Calculated polar for: AH 79-K-135/20 B                                
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.0870   0.00963   0.00536  -0.0618   0.7503   0.7735
  -1.750   0.1140   0.00965   0.00535  -0.0614   0.7490   0.7999
  -1.500   0.1393   0.00976   0.00548  -0.0608   0.7461   0.8183
  -1.250   0.1657   0.00982   0.00553  -0.0604   0.7431   0.8315
  -1.000   0.1919   0.00991   0.00559  -0.0598   0.7407   0.8461
  -0.750   0.2180   0.00998   0.00563  -0.0591   0.7387   0.8594
  -0.500   0.2438   0.01006   0.00568  -0.0582   0.7371   0.8718
  -0.250   0.2690   0.01016   0.00574  -0.0572   0.7356   0.8836
   0.000   0.2919   0.01026   0.00587  -0.0558   0.7319   0.8905
   0.250   0.3161   0.01028   0.00588  -0.0549   0.7286   0.8991
   0.500   0.3414   0.01023   0.00582  -0.0540   0.7262   0.9049
   0.750   0.3684   0.01014   0.00569  -0.0538   0.7242   0.9113
   1.000   0.3956   0.01001   0.00552  -0.0534   0.7225   0.9148
   1.250   0.4204   0.00997   0.00550  -0.0529   0.7187   0.9191
   1.500   0.4461   0.00989   0.00542  -0.0525   0.7149   0.9242
   1.750   0.4730   0.00972   0.00524  -0.0522   0.7120   0.9275
   2.000   0.5015   0.00955   0.00504  -0.0522   0.7097   0.9307
   2.250   0.5275   0.00946   0.00497  -0.0520   0.7059   0.9346
   2.500   0.5530   0.00935   0.00488  -0.0516   0.7012   0.9382
   2.750   0.5811   0.00916   0.00468  -0.0517   0.6978   0.9407
   3.000   0.6093   0.00900   0.00453  -0.0518   0.6941   0.9436
   3.250   0.6342   0.00888   0.00446  -0.0513   0.6877   0.9474
   3.500   0.6614   0.00870   0.00425  -0.0512   0.6829   0.9507
   3.750   0.6881   0.00856   0.00417  -0.0510   0.6749   0.9534
   4.000   0.7161   0.00840   0.00401  -0.0511   0.6673   0.9563
   4.250   0.7419   0.00831   0.00395  -0.0508   0.6584   0.9599
   4.500   0.7667   0.00823   0.00389  -0.0503   0.6478   0.9634
   4.750   0.7966   0.00819   0.00386  -0.0509   0.6363   0.9657
   5.000   0.8254   0.00818   0.00383  -0.0513   0.6206   0.9684
   5.250   0.8512   0.00823   0.00382  -0.0511   0.5980   0.9717
   5.500   0.8746   0.00839   0.00389  -0.0504   0.5719   0.9755
   5.750   0.9038   0.00865   0.00406  -0.0512   0.5424   0.9778
   6.000   0.9308   0.00903   0.00431  -0.0516   0.5083   0.9807
