  
       XFOIL         Version 6.99
  
 Calculated polar for: AH 81-K-144 W-F KLAPPE                          
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.1122   0.01931   0.01125  -0.0173   0.2478   0.2369
  -1.750  -0.0883   0.01901   0.01091  -0.0161   0.2463   0.2370
  -1.500  -0.0639   0.01877   0.01064  -0.0149   0.2450   0.2370
  -1.250  -0.0393   0.01856   0.01039  -0.0138   0.2440   0.2371
  -1.000  -0.0147   0.01834   0.01013  -0.0127   0.2427   0.2371
  -0.750   0.0101   0.01812   0.00986  -0.0116   0.2413   0.2373
  -0.500   0.0351   0.01792   0.00962  -0.0105   0.2402   0.2374
  -0.250   0.0603   0.01778   0.00944  -0.0095   0.2390   0.2375
   0.000   0.0857   0.01770   0.00932  -0.0085   0.2375   0.2377
   0.250   0.1116   0.01785   0.00944  -0.0077   0.2356   0.2379
   0.500   0.1372   0.01770   0.00928  -0.0068   0.2350   0.2381
   0.750   0.1628   0.01757   0.00916  -0.0058   0.2342   0.2384
   1.000   0.1888   0.01748   0.00908  -0.0049   0.2334   0.2386
   1.250   0.2146   0.01740   0.00901  -0.0039   0.2323   0.2391
   1.500   0.2406   0.01737   0.00900  -0.0030   0.2314   0.2396
   1.750   0.2666   0.01735   0.00899  -0.0021   0.2303   0.2402
   2.000   0.2926   0.01727   0.00892  -0.0012   0.2290   0.2407
   2.250   0.3188   0.01718   0.00883  -0.0004   0.2277   0.2413
   2.500   0.3454   0.01711   0.00875   0.0004   0.2266   0.2416
   2.750   0.3720   0.01705   0.00868   0.0012   0.2255   0.2421
   3.000   0.3987   0.01700   0.00862   0.0019   0.2244   0.2427
   3.250   0.4254   0.01696   0.00857   0.0027   0.2232   0.2436
   3.500   0.4524   0.01698   0.00857   0.0033   0.2220   0.2442
   3.750   0.4793   0.01714   0.00872   0.0039   0.2206   0.2453
   4.000   0.5064   0.01739   0.00897   0.0044   0.2192   0.2459
   4.250   0.5335   0.01735   0.00897   0.0050   0.2184   0.2467
   4.500   0.5606   0.01735   0.00900   0.0057   0.2175   0.2475
   4.750   0.5880   0.01736   0.00905   0.0062   0.2164   0.2482
   5.000   0.6147   0.01746   0.00918   0.0069   0.2153   0.2491
   5.250   0.6417   0.01755   0.00929   0.0075   0.2142   0.2497
   5.500   0.6744   0.01745   0.00923   0.0068   0.2131   0.2518
   5.750   0.7057   0.01737   0.00920   0.0065   0.2117   0.2541
   6.000   0.7352   0.01741   0.00927   0.0066   0.2105   0.2559
