  
       XFOIL         Version 6.99
  
 Calculated polar for: AH 82-150 A                                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.2217   0.00896   0.00401  -0.0995   0.7391   0.7261
  -1.750   0.2492   0.00912   0.00415  -0.0993   0.7363   0.7353
  -1.500   0.2768   0.00934   0.00435  -0.0991   0.7336   0.7468
  -1.250   0.3021   0.00976   0.00482  -0.0980   0.7311   0.7624
  -1.000   0.3300   0.01003   0.00503  -0.0978   0.7289   0.7723
  -0.750   0.3551   0.01019   0.00523  -0.0970   0.7262   0.7776
  -0.500   0.3817   0.01033   0.00538  -0.0967   0.7229   0.7845
  -0.250   0.4095   0.01033   0.00535  -0.0968   0.7198   0.7880
   0.000   0.4382   0.01030   0.00527  -0.0971   0.7169   0.7894
   0.250   0.4674   0.01030   0.00521  -0.0976   0.7141   0.7907
   0.500   0.4946   0.01025   0.00518  -0.0977   0.7102   0.7920
   0.750   0.5230   0.01020   0.00512  -0.0981   0.7065   0.7934
   1.000   0.5525   0.01016   0.00504  -0.0987   0.7034   0.7948
   1.250   0.5822   0.01016   0.00499  -0.0993   0.7006   0.7960
   1.500   0.6099   0.01013   0.00499  -0.0997   0.6968   0.7975
   1.750   0.6389   0.01010   0.00495  -0.1002   0.6932   0.7988
   2.000   0.6687   0.01008   0.00489  -0.1009   0.6899   0.7998
   2.250   0.6975   0.01006   0.00486  -0.1014   0.6868   0.8007
   2.500   0.7242   0.01003   0.00489  -0.1014   0.6825   0.8017
   2.750   0.7522   0.01000   0.00488  -0.1017   0.6785   0.8028
   3.000   0.7813   0.00999   0.00486  -0.1021   0.6750   0.8038
   3.250   0.8085   0.01000   0.00491  -0.1023   0.6707   0.8048
   3.500   0.8361   0.00999   0.00494  -0.1025   0.6661   0.8059
   3.750   0.8649   0.00998   0.00494  -0.1029   0.6621   0.8070
   4.000   0.8922   0.00999   0.00500  -0.1031   0.6573   0.8082
   4.250   0.9196   0.00999   0.00504  -0.1033   0.6519   0.8097
   4.500   0.9485   0.01000   0.00504  -0.1037   0.6473   0.8111
   4.750   0.9746   0.01001   0.00514  -0.1037   0.6408   0.8123
   5.000   1.0025   0.01002   0.00515  -0.1040   0.6348   0.8134
   5.250   1.0272   0.00998   0.00519  -0.1036   0.6250   0.8145
   5.500   1.0509   0.00993   0.00517  -0.1028   0.6109   0.8156
   5.750   1.0737   0.00995   0.00517  -0.1020   0.5938   0.8168
   6.000   1.0936   0.01005   0.00524  -0.1006   0.5676   0.8182
