  
       XFOIL         Version 6.99
  
 Calculated polar for: AH 82-150 F                                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.1500   0.01226   0.00822  -0.0847   0.7924   0.8190
  -1.750   0.1773   0.01252   0.00843  -0.0843   0.7915   0.8348
  -1.500   0.2038   0.01283   0.00868  -0.0837   0.7905   0.8474
  -1.000   0.2347   0.01385   0.00973  -0.0787   0.7837   0.8660
  -0.750   0.2528   0.01429   0.01017  -0.0757   0.7817   0.8810
  -0.500   0.2742   0.01455   0.01041  -0.0733   0.7804   0.8929
  -0.250   0.3032   0.01445   0.01026  -0.0733   0.7793   0.8982
   0.000   0.3351   0.01434   0.01010  -0.0738   0.7782   0.9014
   0.250   0.3655   0.01428   0.00998  -0.0741   0.7771   0.9071
   0.750   0.3955   0.01463   0.01038  -0.0686   0.7691   0.9235
   1.000   0.4336   0.01446   0.01018  -0.0706   0.7679   0.9256
   1.250   0.4681   0.01426   0.00995  -0.0721   0.7666   0.9271
   1.500   0.5011   0.01405   0.00970  -0.0733   0.7654   0.9285
   1.750   0.5334   0.01383   0.00946  -0.0745   0.7643   0.9295
   2.250   0.5561   0.01375   0.00941  -0.0688   0.7560   0.9344
   2.500   0.5871   0.01349   0.00914  -0.0698   0.7542   0.9348
   2.750   0.6202   0.01322   0.00887  -0.0711   0.7528   0.9350
   3.000   0.6547   0.01297   0.00861  -0.0727   0.7516   0.9352
   3.250   0.6724   0.01289   0.00858  -0.0710   0.7474   0.9365
   3.500   0.6948   0.01274   0.00846  -0.0703   0.7436   0.9372
   3.750   0.7270   0.01246   0.00820  -0.0714   0.7413   0.9374
   4.000   0.7618   0.01217   0.00792  -0.0731   0.7396   0.9375
   4.250   0.7982   0.01188   0.00763  -0.0751   0.7379   0.9375
   4.500   0.8070   0.01184   0.00770  -0.0716   0.7312   0.9394
   4.750   0.8387   0.01154   0.00743  -0.0726   0.7281   0.9397
   5.000   0.8742   0.01123   0.00714  -0.0744   0.7257   0.9397
   5.250   0.8870   0.01101   0.00701  -0.0717   0.7173   0.9410
   5.500   0.9076   0.01055   0.00659  -0.0703   0.7074   0.9419
   5.750   0.9232   0.01024   0.00634  -0.0680   0.6956   0.9433
   6.000   0.9311   0.01003   0.00615  -0.0641   0.6798   0.9453
