  
       XFOIL         Version 6.99
  
 Calculated polar for: AH 85-L-120/17                                  
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.2128   0.00884   0.00466  -0.0023   0.8686   0.8062
  -1.750  -0.1891   0.00898   0.00479  -0.0014   0.8649   0.8141
  -1.500  -0.1610   0.00916   0.00497  -0.0013   0.8620   0.8197
  -1.250  -0.1346   0.00930   0.00509  -0.0009   0.8594   0.8268
  -1.000  -0.1066   0.00939   0.00517  -0.0008   0.8573   0.8313
  -0.750  -0.0777   0.00947   0.00523  -0.0010   0.8555   0.8345
  -0.500  -0.0537   0.00952   0.00529  -0.0003   0.8514   0.8389
  -0.250  -0.0289   0.00950   0.00525   0.0002   0.8479   0.8429
   0.000   0.0000   0.00950   0.00525  -0.0000   0.8452   0.8453
   0.250   0.0288   0.00951   0.00526  -0.0002   0.8430   0.8480
   0.500   0.0537   0.00952   0.00529   0.0003   0.8390   0.8513
   0.750   0.0777   0.00947   0.00523   0.0010   0.8345   0.8554
   1.000   0.1067   0.00938   0.00515   0.0008   0.8311   0.8573
   1.250   0.1343   0.00929   0.00508   0.0010   0.8263   0.8595
   1.500   0.1613   0.00912   0.00494   0.0013   0.8191   0.8621
   1.750   0.1897   0.00900   0.00481   0.0013   0.8150   0.8649
   2.000   0.2128   0.00885   0.00468   0.0023   0.8066   0.8684
   2.250   0.2405   0.00865   0.00451   0.0025   0.7994   0.8705
   2.500   0.2672   0.00851   0.00442   0.0028   0.7915   0.8726
   2.750   0.2930   0.00838   0.00434   0.0034   0.7825   0.8751
   3.000   0.3184   0.00823   0.00421   0.0040   0.7713   0.8779
   3.250   0.3416   0.00801   0.00399   0.0052   0.7487   0.8808
   3.500   0.3640   0.00788   0.00383   0.0065   0.7147   0.8831
   3.750   0.3851   0.00792   0.00372   0.0081   0.6627   0.8852
   4.000   0.3979   0.00830   0.00374   0.0113   0.5758   0.8881
   4.250   0.4044   0.00894   0.00392   0.0154   0.4647   0.8919
   4.500   0.4070   0.00980   0.00420   0.0199   0.3295   0.8957
   4.750   0.4151   0.01062   0.00450   0.0232   0.2099   0.8985
   5.000   0.4243   0.01143   0.00484   0.0263   0.1045   0.9018
   5.250   0.4344   0.01223   0.00528   0.0294   0.0385   0.9052
   5.500   0.4508   0.01265   0.00570   0.0314   0.0295   0.9081
   5.750   0.4701   0.01300   0.00610   0.0329   0.0262   0.9105
   6.000   0.4841   0.01368   0.00687   0.0353   0.0224   0.9135
