  
       XFOIL         Version 6.99
  
 Calculated polar for: AH 93-K-132/15                                  
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.0219   0.01475   0.00863  -0.0391   0.7597   0.2042
  -1.750   0.0419   0.01388   0.00835  -0.0378   0.7586   0.3734
  -1.500   0.0520   0.01246   0.00799  -0.0344   0.7575   0.6574
  -1.250   0.1007   0.01211   0.00846  -0.0374   0.7572   0.9071
  -1.000   0.1321   0.01233   0.00861  -0.0373   0.7566   0.9338
  -0.750   0.1707   0.01248   0.00867  -0.0391   0.7561   0.9470
  -0.500   0.2224   0.01273   0.00883  -0.0434   0.7557   0.9604
   0.250   0.3501   0.01298   0.00894  -0.0533   0.7474   0.9779
   0.500   0.3958   0.01277   0.00869  -0.0570   0.7465   0.9839
   0.750   0.4447   0.01246   0.00833  -0.0614   0.7458   0.9900
   1.000   0.4838   0.01215   0.00798  -0.0638   0.7449   0.9948
   1.250   0.5223   0.01175   0.00756  -0.0661   0.7441   0.9973
   1.500   0.5577   0.01139   0.00716  -0.0678   0.7433   0.9997
   2.000   0.6122   0.01119   0.00699  -0.0684   0.7352   1.0000
   2.250   0.6362   0.01083   0.00661  -0.0676   0.7333   1.0000
   2.500   0.6600   0.01044   0.00620  -0.0667   0.7317   1.0000
   2.750   0.6840   0.01008   0.00582  -0.0658   0.7302   1.0000
   3.000   0.7123   0.01013   0.00593  -0.0665   0.7237   1.0000
   3.250   0.7374   0.00984   0.00565  -0.0660   0.7208   1.0000
   3.500   0.7620   0.00949   0.00528  -0.0653   0.7184   1.0000
   3.750   0.7894   0.00944   0.00529  -0.0656   0.7119   1.0000
   4.000   0.8150   0.00919   0.00506  -0.0652   0.7074   1.0000
   4.250   0.8414   0.00904   0.00493  -0.0651   0.7009   1.0000
   4.500   0.8672   0.00883   0.00474  -0.0648   0.6937   1.0000
   4.750   0.8940   0.00877   0.00471  -0.0648   0.6840   1.0000
   5.000   0.9201   0.00865   0.00459  -0.0646   0.6724   1.0000
   5.250   0.9460   0.00857   0.00448  -0.0644   0.6565   1.0000
   5.750   0.9981   0.00871   0.00454  -0.0642   0.6185   1.0000
   6.000   1.0237   0.00893   0.00468  -0.0642   0.5937   1.0000
