  
       XFOIL         Version 6.99
  
 Calculated polar for: AH 93-W-174                                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.2038   0.00997   0.00348  -0.0877   0.5567   0.4736
  -1.750   0.2317   0.00985   0.00350  -0.0878   0.5545   0.5192
  -1.500   0.2597   0.00975   0.00352  -0.0878   0.5522   0.5585
  -1.250   0.2880   0.00970   0.00355  -0.0879   0.5499   0.5906
  -1.000   0.3163   0.00967   0.00359  -0.0879   0.5477   0.6178
  -0.750   0.3449   0.00969   0.00363  -0.0880   0.5455   0.6419
  -0.500   0.3734   0.00971   0.00367  -0.0880   0.5434   0.6622
  -0.250   0.4020   0.00981   0.00376  -0.0881   0.5411   0.6800
   0.000   0.4304   0.00988   0.00386  -0.0882   0.5390   0.6956
   0.250   0.4588   0.00992   0.00393  -0.0882   0.5369   0.7100
   0.500   0.4871   0.00997   0.00401  -0.0882   0.5347   0.7236
   0.750   0.5153   0.01001   0.00409  -0.0882   0.5325   0.7357
   1.000   0.5437   0.01007   0.00415  -0.0882   0.5302   0.7473
   1.250   0.5723   0.01015   0.00420  -0.0883   0.5281   0.7592
   1.500   0.6004   0.01026   0.00431  -0.0883   0.5261   0.7694
   1.750   0.6288   0.01041   0.00447  -0.0884   0.5240   0.7794
   2.000   0.6564   0.01047   0.00458  -0.0883   0.5220   0.7903
   2.250   0.6835   0.01053   0.00470  -0.0880   0.5197   0.8000
   2.500   0.7115   0.01060   0.00478  -0.0880   0.5174   0.8097
   2.750   0.7389   0.01067   0.00488  -0.0879   0.5152   0.8179
   3.000   0.7671   0.01075   0.00495  -0.0879   0.5132   0.8262
   3.250   0.7947   0.01085   0.00505  -0.0879   0.5112   0.8333
   3.500   0.8231   0.01103   0.00522  -0.0880   0.5089   0.8413
   3.750   0.8491   0.01107   0.00534  -0.0876   0.5068   0.8482
   4.000   0.8765   0.01115   0.00547  -0.0876   0.5045   0.8562
   4.250   0.9028   0.01121   0.00558  -0.0873   0.5021   0.8628
   4.500   0.9302   0.01128   0.00566  -0.0872   0.4998   0.8705
   4.750   0.9568   0.01133   0.00574  -0.0870   0.4976   0.8772
   5.000   0.9841   0.01145   0.00585  -0.0869   0.4955   0.8849
   5.250   1.0103   0.01160   0.00603  -0.0866   0.4931   0.8921
   5.500   1.0354   0.01165   0.00618  -0.0861   0.4908   0.9004
   5.750   1.0600   0.01170   0.00630  -0.0855   0.4882   0.9083
