  
       XFOIL         Version 6.99
  
 Calculated polar for: AH 94-145                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.4231   0.01146   0.00433  -0.1317   0.6621   0.1149
  -1.750   0.4531   0.01130   0.00425  -0.1323   0.6601   0.1373
  -1.500   0.4835   0.01096   0.00418  -0.1332   0.6583   0.2123
  -1.250   0.5148   0.01032   0.00415  -0.1347   0.6566   0.4114
  -1.000   0.5459   0.00980   0.00422  -0.1359   0.6550   0.6123
  -0.750   0.5751   0.00963   0.00430  -0.1362   0.6535   0.7098
  -0.500   0.6022   0.00963   0.00446  -0.1359   0.6517   0.7787
  -0.250   0.6281   0.00963   0.00459  -0.1354   0.6499   0.8250
   0.000   0.6539   0.00968   0.00470  -0.1349   0.6480   0.8560
   0.250   0.6801   0.00976   0.00480  -0.1344   0.6461   0.8797
   0.500   0.7050   0.00982   0.00487  -0.1337   0.6442   0.8979
   0.750   0.7289   0.00986   0.00491  -0.1327   0.6423   0.9146
   1.000   0.7487   0.00986   0.00492  -0.1306   0.6405   0.9376
   1.250   0.7605   0.00974   0.00480  -0.1267   0.6389   0.9664
   1.500   0.7922   0.00969   0.00470  -0.1274   0.6372   0.9998
   1.750   0.8229   0.00981   0.00483  -0.1284   0.6353   0.9998
   2.000   0.8535   0.00990   0.00493  -0.1293   0.6331   0.9998
   2.250   0.8843   0.01000   0.00503  -0.1302   0.6308   0.9998
   2.500   0.9153   0.01008   0.00511  -0.1312   0.6287   0.9998
   2.750   0.9464   0.01016   0.00516  -0.1321   0.6267   0.9998
   3.000   0.9775   0.01024   0.00521  -0.1330   0.6248   0.9998
   3.250   1.0087   0.01035   0.00529  -0.1339   0.6231   0.9998
   3.500   1.0389   0.01051   0.00545  -0.1348   0.6210   0.9998
   3.750   1.0684   0.01062   0.00561  -0.1354   0.6184   0.9998
   4.000   1.0982   0.01070   0.00573  -0.1361   0.6156   0.9998
   4.250   1.1282   0.01076   0.00579  -0.1368   0.6130   0.9998
   4.500   1.1586   0.01079   0.00582  -0.1375   0.6106   0.9998
   4.750   1.1892   0.01085   0.00583  -0.1383   0.6079   0.9998
   5.000   1.2172   0.01088   0.00595  -0.1386   0.6035   0.9998
   5.250   1.2462   0.01081   0.00590  -0.1390   0.5985   0.9998
   5.500   1.2761   0.01073   0.00577  -0.1395   0.5940   0.9998
   5.750   1.3036   0.01073   0.00585  -0.1397   0.5882   0.9998
   6.000   1.3320   0.01069   0.00582  -0.1400   0.5826   0.9998
