  
       XFOIL         Version 6.99
  
 Calculated polar for: NASA/AMES A-02 AIRFOIL                          
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.2061   0.00778   0.00221  -0.0058   1.0000   0.2548
  -1.750  -0.1734   0.00673   0.00206  -0.0075   0.9895   0.4901
  -1.500  -0.1407   0.00627   0.00208  -0.0086   0.9767   0.6215
  -1.250  -0.1158   0.00617   0.00219  -0.0074   0.9577   0.6889
  -1.000  -0.0952   0.00614   0.00227  -0.0052   0.9397   0.7369
  -0.750  -0.0730   0.00606   0.00230  -0.0034   0.9255   0.7785
  -0.500  -0.0497   0.00594   0.00230  -0.0019   0.9124   0.8178
  -0.250  -0.0275   0.00580   0.00228   0.0001   0.8986   0.8637
   0.000  -0.0070   0.00563   0.00224   0.0025   0.8845   0.9185
   0.250   0.0267   0.00549   0.00213   0.0019   0.8706   0.9813
   0.500   0.0616   0.00546   0.00204   0.0006   0.8543   1.0000
   0.750   0.0883   0.00547   0.00197   0.0011   0.8354   1.0000
   1.000   0.1152   0.00550   0.00191   0.0016   0.8125   1.0000
   1.250   0.1423   0.00555   0.00185   0.0020   0.7843   1.0000
   1.500   0.1695   0.00565   0.00181   0.0024   0.7474   1.0000
   1.750   0.1968   0.00582   0.00178   0.0028   0.6960   1.0000
   2.000   0.2243   0.00612   0.00177   0.0030   0.6181   1.0000
   2.250   0.2521   0.00662   0.00183   0.0029   0.5109   1.0000
   2.500   0.2804   0.00721   0.00195   0.0025   0.3994   1.0000
   2.750   0.3088   0.00774   0.00210   0.0021   0.3094   1.0000
   3.000   0.3373   0.00819   0.00226   0.0018   0.2461   1.0000
   3.250   0.3659   0.00856   0.00243   0.0015   0.1992   1.0000
   3.500   0.3944   0.00891   0.00261   0.0012   0.1637   1.0000
   3.750   0.4229   0.00924   0.00280   0.0010   0.1360   1.0000
   4.000   0.4514   0.00957   0.00302   0.0008   0.1145   1.0000
   4.250   0.4798   0.00989   0.00325   0.0006   0.0976   1.0000
   4.500   0.5082   0.01023   0.00351   0.0005   0.0842   1.0000
   4.750   0.5365   0.01057   0.00379   0.0003   0.0736   1.0000
   5.000   0.5647   0.01095   0.00411   0.0002   0.0652   1.0000
   5.250   0.5928   0.01130   0.00444   0.0000   0.0583   1.0000
   5.500   0.6209   0.01168   0.00479  -0.0001   0.0525   1.0000
   5.750   0.6488   0.01208   0.00518  -0.0002   0.0477   1.0000
   6.000   0.6765   0.01253   0.00562  -0.0002   0.0438   1.0000
