  
       XFOIL         Version 6.99
  
 Calculated polar for: Smoothed ATR airfoil coordinates obtained  using
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.0142   0.00988   0.00279  -0.0282   0.5133   0.2327
  -1.750   0.0323   0.00947   0.00264  -0.0265   0.4657   0.3499
  -1.500   0.0497   0.00913   0.00258  -0.0246   0.4281   0.4795
  -1.250   0.0689   0.00889   0.00258  -0.0229   0.4052   0.5763
  -1.000   0.0900   0.00879   0.00264  -0.0214   0.3889   0.6523
  -0.750   0.1129   0.00878   0.00268  -0.0202   0.3765   0.7013
  -0.500   0.1370   0.00874   0.00272  -0.0191   0.3666   0.7397
  -0.250   0.1609   0.00874   0.00279  -0.0180   0.3584   0.7782
   0.000   0.1854   0.00875   0.00290  -0.0169   0.3509   0.8204
   0.250   0.2100   0.00889   0.00306  -0.0158   0.3437   0.8558
   0.500   0.2354   0.00900   0.00320  -0.0148   0.3376   0.8856
   0.750   0.2599   0.00918   0.00335  -0.0136   0.3317   0.9082
   1.000   0.2852   0.00939   0.00351  -0.0127   0.3266   0.9242
   1.250   0.3137   0.00954   0.00364  -0.0123   0.3218   0.9363
   1.500   0.3429   0.00974   0.00378  -0.0123   0.3169   0.9470
   1.750   0.3745   0.01004   0.00399  -0.0127   0.3117   0.9582
   2.000   0.4214   0.01026   0.00417  -0.0164   0.3068   0.9624
   2.250   0.4607   0.01043   0.00429  -0.0187   0.3022   0.9655
   2.500   0.4927   0.01065   0.00442  -0.0195   0.2980   0.9711
   2.750   0.5336   0.01084   0.00455  -0.0222   0.2941   0.9728
   3.000   0.5735   0.01096   0.00465  -0.0246   0.2903   0.9751
   3.250   0.6126   0.01112   0.00476  -0.0270   0.2861   0.9788
   3.500   0.6495   0.01136   0.00492  -0.0289   0.2821   0.9835
   3.750   0.6920   0.01153   0.00506  -0.0320   0.2786   0.9861
   4.000   0.7312   0.01163   0.00516  -0.0344   0.2754   0.9891
   4.250   0.7674   0.01176   0.00527  -0.0362   0.2721   0.9926
   4.500   0.8040   0.01191   0.00536  -0.0381   0.2686   0.9951
   4.750   0.8402   0.01217   0.00555  -0.0401   0.2648   0.9976
   5.000   0.8773   0.01224   0.00565  -0.0421   0.2624   0.9999
   5.250   0.8983   0.01235   0.00577  -0.0409   0.2600   1.0000
   5.500   0.9185   0.01247   0.00590  -0.0395   0.2576   1.0000
   5.750   0.9384   0.01261   0.00602  -0.0381   0.2550   1.0000
   6.000   0.9576   0.01282   0.00619  -0.0365   0.2525   1.0000
