  
       XFOIL         Version 6.99
  
 Calculated polar for: BOEING 707 .08 SPAN AIRFOIL                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.2654   0.00335  -0.00441   0.0077   0.3402   0.2827
  -1.750  -0.2406   0.00326  -0.00418   0.0083   0.3373   0.3915
  -1.500  -0.2137   0.00329  -0.00413   0.0087   0.3341   0.4086
  -1.250  -0.1865   0.00334  -0.00411   0.0090   0.3315   0.4200
  -1.000  -0.1599   0.00336  -0.00409   0.0094   0.3285   0.4271
  -0.750  -0.1332   0.00342  -0.00406   0.0098   0.3248   0.4339
  -0.500  -0.1056   0.00346  -0.00405   0.0101   0.3200   0.4393
  -0.250  -0.0790   0.00346  -0.00404   0.0104   0.3147   0.4442
   0.000  -0.0524   0.00352  -0.00400   0.0108   0.3100   0.4486
   0.250  -0.0250   0.00351  -0.00399   0.0111   0.3044   0.4532
   0.500   0.0021   0.00357  -0.00399   0.0114   0.2989   0.4574
   0.750   0.0294   0.00356  -0.00398   0.0117   0.2930   0.4602
   1.000   0.0564   0.00353  -0.00399   0.0120   0.2857   0.4640
   1.250   0.0839   0.00348  -0.00397   0.0123   0.2772   0.4689
   1.500   0.1121   0.00341  -0.00400   0.0125   0.2639   0.4730
   1.750   0.1407   0.00332  -0.00421   0.0126   0.2192   0.4771
   2.000   0.1667   0.00338  -0.00425   0.0130   0.1995   0.4816
   2.250   0.1928   0.00343  -0.00420   0.0134   0.1873   0.4855
   2.500   0.2192   0.00349  -0.00417   0.0138   0.1743   0.4887
   2.750   0.2457   0.00354  -0.00414   0.0142   0.1626   0.4921
   3.000   0.2723   0.00360  -0.00412   0.0145   0.1514   0.4957
   3.250   0.2987   0.00366  -0.00410   0.0149   0.1396   0.4998
   3.750   0.3510   0.00376  -0.00399   0.0157   0.1179   0.5114
   4.250   0.4027   0.00390  -0.00386   0.0166   0.0898   0.5290
   4.500   0.4276   0.00403  -0.00379   0.0172   0.0708   0.5423
   4.750   0.4525   0.00411  -0.00364   0.0177   0.0648   0.5616
   5.000   0.4767   0.00416  -0.00345   0.0185   0.0613   0.5998
   5.250   0.4995   0.00413  -0.00320   0.0195   0.0583   0.6751
   5.500   0.5208   0.00409  -0.00293   0.0209   0.0561   0.7594
   5.750   0.5419   0.00399  -0.00268   0.0226   0.0545   0.8480
   6.000   0.5878   0.00412  -0.00234   0.0191   0.0518   0.9493
