  
       XFOIL         Version 6.99
  
 Calculated polar for: BOEING 707 .19 SPAN AIRFOIL                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.2404   0.01169   0.00353   0.0216   0.6211   0.0247
  -1.750  -0.2141   0.01149   0.00331   0.0220   0.6168   0.0248
  -1.500  -0.1876   0.01127   0.00310   0.0224   0.6112   0.0252
  -1.250  -0.1610   0.01111   0.00290   0.0228   0.6054   0.0256
  -1.000  -0.1342   0.01092   0.00271   0.0231   0.5969   0.0267
  -0.750  -0.1076   0.01076   0.00253   0.0235   0.5883   0.0286
  -0.500  -0.0815   0.01047   0.00240   0.0239   0.5775   0.0657
  -0.250  -0.0546   0.01030   0.00225   0.0242   0.5596   0.0785
   0.000  -0.0356   0.01049   0.00212   0.0256   0.3844   0.1566
   0.250  -0.0210   0.00963   0.00197   0.0275   0.3414   0.4031
   0.500  -0.0049   0.00907   0.00191   0.0295   0.3020   0.5540
   0.750   0.0173   0.00898   0.00197   0.0306   0.2824   0.6218
   1.000   0.0411   0.00896   0.00204   0.0314   0.2703   0.6602
   1.250   0.0649   0.00895   0.00213   0.0323   0.2604   0.6978
   1.500   0.0888   0.00889   0.00222   0.0332   0.2517   0.7357
   1.750   0.1132   0.00888   0.00231   0.0340   0.2406   0.7682
   2.000   0.1377   0.00886   0.00240   0.0349   0.2244   0.8028
   2.250   0.1593   0.00916   0.00253   0.0361   0.1527   0.8400
   2.500   0.1818   0.00956   0.00279   0.0372   0.0998   0.8689
   2.750   0.2071   0.00977   0.00303   0.0379   0.0917   0.8985
   3.000   0.2354   0.01000   0.00328   0.0379   0.0885   0.9133
   3.250   0.2644   0.01029   0.00357   0.0377   0.0847   0.9269
   3.500   0.2945   0.01060   0.00389   0.0372   0.0818   0.9374
   3.750   0.3254   0.01084   0.00414   0.0365   0.0804   0.9454
   4.000   0.3554   0.01111   0.00441   0.0360   0.0785   0.9536
   4.250   0.3913   0.01146   0.00475   0.0341   0.0761   0.9575
   4.500   0.4223   0.01182   0.00511   0.0332   0.0743   0.9643
   4.750   0.4593   0.01241   0.00568   0.0309   0.0717   0.9668
   5.000   0.4955   0.01271   0.00598   0.0289   0.0705   0.9701
   5.500   0.5656   0.01320   0.00649   0.0255   0.0681   0.9768
   5.750   0.6013   0.01346   0.00676   0.0236   0.0666   0.9798
   6.000   0.6338   0.01368   0.00698   0.0224   0.0648   0.9842
