  
       XFOIL         Version 6.99
  
 Calculated polar for: BOEING 707 .40 SPAN AIRFOIL                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.0014   0.01525   0.00795  -0.0382   0.5751   0.0372
  -1.750   0.0268   0.01488   0.00738  -0.0374   0.5433   0.0402
  -1.500   0.0429   0.01483   0.00652  -0.0355   0.3419   0.0459
  -1.250   0.0635   0.01489   0.00610  -0.0343   0.2072   0.0484
  -1.000   0.0892   0.01441   0.00554  -0.0337   0.1937   0.0500
  -0.750   0.1149   0.01329   0.00419  -0.0318   0.1821   0.0236
  -0.250   0.1606   0.01305   0.00352  -0.0298   0.0417   0.0230
   0.000   0.1846   0.01270   0.00315  -0.0291   0.0379   0.0232
   0.250   0.2091   0.01239   0.00282  -0.0283   0.0364   0.0242
   0.500   0.2346   0.01227   0.00270  -0.0278   0.0352   0.0266
   0.750   0.2602   0.01215   0.00256  -0.0273   0.0342   0.0367
   1.000   0.2860   0.01213   0.00251  -0.0269   0.0335   0.0507
   1.250   0.3115   0.01210   0.00257  -0.0265   0.0329   0.1017
   1.500   0.3328   0.01151   0.00263  -0.0256   0.0322   0.3851
   1.750   0.3553   0.01122   0.00270  -0.0247   0.0307   0.4842
   2.250   0.3893   0.01041   0.00314  -0.0201   0.0296   0.8393
   2.500   0.4133   0.01045   0.00339  -0.0190   0.0291   0.9002
   2.750   0.4540   0.01076   0.00378  -0.0218   0.0284   0.9490
   3.000   0.5016   0.01104   0.00405  -0.0263   0.0282   0.9744
   3.250   0.5415   0.01122   0.00418  -0.0291   0.0277   0.9851
   3.500   0.5780   0.01143   0.00437  -0.0312   0.0273   0.9920
   3.750   0.6169   0.01169   0.00461  -0.0339   0.0270   0.9987
   4.000   0.6428   0.01191   0.00482  -0.0338   0.0268   1.0000
   4.250   0.6632   0.01214   0.00505  -0.0324   0.0266   1.0000
   4.500   0.6841   0.01238   0.00529  -0.0312   0.0264   1.0000
   4.750   0.7051   0.01266   0.00557  -0.0299   0.0263   1.0000
   5.000   0.7261   0.01295   0.00587  -0.0287   0.0261   1.0000
   5.250   0.7472   0.01326   0.00621  -0.0275   0.0259   1.0000
   5.500   0.7683   0.01358   0.00655  -0.0263   0.0255   1.0000
   5.750   0.7903   0.01383   0.00679  -0.0253   0.0246   1.0000
   6.000   0.8121   0.01410   0.00707  -0.0243   0.0239   1.0000
