  
       XFOIL         Version 6.99
  
 Calculated polar for: BOEING 737 ROOT AIRFOIL                         
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.0850   0.01048   0.00289  -0.0046   0.4614   0.2069
  -1.500  -0.0344   0.01121   0.00300  -0.0034   0.2995   0.2205
  -1.250  -0.0069   0.01135   0.00305  -0.0031   0.2759   0.2273
  -1.000   0.0206   0.01143   0.00309  -0.0028   0.2604   0.2345
  -0.750   0.0483   0.01152   0.00313  -0.0025   0.2486   0.2412
  -0.500   0.0762   0.01156   0.00318  -0.0022   0.2397   0.2483
  -0.250   0.1039   0.01162   0.00323  -0.0019   0.2320   0.2567
   0.000   0.1315   0.01170   0.00331  -0.0016   0.2253   0.2650
   0.250   0.1596   0.01169   0.00335  -0.0014   0.2198   0.2757
   0.500   0.1870   0.01173   0.00340  -0.0011   0.2135   0.2899
   0.750   0.2143   0.01174   0.00347  -0.0008   0.2080   0.3117
   1.000   0.2415   0.01159   0.00350  -0.0006   0.2038   0.3561
   1.250   0.2669   0.01125   0.00353  -0.0001   0.1998   0.4621
   1.500   0.2918   0.01107   0.00368   0.0005   0.1957   0.5637
   1.750   0.3184   0.01110   0.00389   0.0010   0.1923   0.6167
   2.000   0.3462   0.01115   0.00403   0.0014   0.1891   0.6482
   2.250   0.3739   0.01124   0.00417   0.0017   0.1857   0.6706
   2.500   0.4012   0.01139   0.00434   0.0021   0.1820   0.6888
   2.750   0.4283   0.01160   0.00456   0.0025   0.1782   0.7043
   3.000   0.4564   0.01167   0.00469   0.0028   0.1750   0.7197
   3.500   0.5113   0.01193   0.00499   0.0035   0.1678   0.7495
   3.750   0.5383   0.01214   0.00521   0.0039   0.1645   0.7612
   4.000   0.5661   0.01224   0.00536   0.0042   0.1615   0.7733
   4.250   0.5936   0.01233   0.00550   0.0045   0.1583   0.7839
   4.500   0.6207   0.01254   0.00567   0.0048   0.1549   0.7956
   4.750   0.6472   0.01270   0.00589   0.0053   0.1517   0.8071
   5.000   0.6747   0.01279   0.00604   0.0056   0.1485   0.8190
   5.250   0.7014   0.01289   0.00618   0.0060   0.1452   0.8329
   5.500   0.7266   0.01313   0.00642   0.0067   0.1417   0.8476
   5.750   0.7532   0.01317   0.00658   0.0072   0.1389   0.8647
   6.000   0.7787   0.01324   0.00675   0.0079   0.1358   0.8871
