  
       XFOIL         Version 6.99
  
 Calculated polar for: Bambino 6                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.0238   0.01035   0.00279  -0.0447   0.6385   0.0892
  -1.750   0.0440   0.01033   0.00267  -0.0430   0.6187   0.0933
  -1.250   0.0852   0.01025   0.00263  -0.0398   0.5848   0.1355
  -1.000   0.1070   0.01029   0.00261  -0.0385   0.5679   0.1477
  -0.750   0.1289   0.01031   0.00257  -0.0371   0.5474   0.1578
  -0.500   0.1504   0.01032   0.00252  -0.0358   0.5284   0.1647
  -0.250   0.1703   0.01040   0.00248  -0.0340   0.4963   0.1699
   0.000   0.1864   0.01059   0.00246  -0.0316   0.4372   0.1767
   0.250   0.1778   0.01229   0.00297  -0.0247   0.1386   0.1792
   0.750   0.2154   0.01271   0.00315  -0.0211   0.0656   0.1894
   1.000   0.2369   0.01277   0.00323  -0.0198   0.0638   0.1955
   1.250   0.2574   0.01281   0.00333  -0.0183   0.0619   0.2070
   1.500   0.2767   0.01281   0.00344  -0.0166   0.0602   0.2334
   1.750   0.2884   0.01246   0.00352  -0.0133   0.0597   0.3643
   2.000   0.2508   0.01093   0.00347   0.0011   0.0599   0.7882
   2.250   0.2616   0.01114   0.00375   0.0051   0.0567   0.8524
   2.500   0.2757   0.01131   0.00394   0.0081   0.0553   0.8697
   2.750   0.2924   0.01147   0.00411   0.0106   0.0538   0.8819
   3.000   0.3107   0.01158   0.00427   0.0126   0.0524   0.8940
   3.250   0.3286   0.01175   0.00443   0.0146   0.0490   0.9023
   3.500   0.3481   0.01203   0.00474   0.0161   0.0457   0.9097
   3.750   0.3866   0.01192   0.00458   0.0135   0.0428   0.9194
   4.000   0.4214   0.01203   0.00465   0.0116   0.0401   0.9286
   4.250   0.4697   0.01222   0.00477   0.0066   0.0358   0.9342
   4.500   0.5044   0.01257   0.00495   0.0045   0.0195   0.9387
   4.750   0.5450   0.01290   0.00531   0.0012   0.0183   0.9432
   5.000   0.6014   0.01343   0.00584  -0.0056   0.0183   0.9487
   5.250   0.6315   0.01373   0.00613  -0.0065   0.0187   0.9536
   5.500   0.6658   0.01417   0.00660  -0.0083   0.0187   0.9563
   5.750   0.6946   0.01451   0.00695  -0.0090   0.0191   0.9578
   6.000   0.7220   0.01475   0.00723  -0.0094   0.0202   0.9595
