  
       XFOIL         Version 6.99
  
 Calculated polar for: BE50 (smoothed)                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.2780   0.00810   0.00232  -0.1115   0.9222   0.0658
  -1.750   0.3056   0.00782   0.00210  -0.1112   0.9108   0.0924
  -1.500   0.3331   0.00757   0.00194  -0.1109   0.8986   0.1333
  -1.250   0.3605   0.00732   0.00182  -0.1106   0.8852   0.1885
  -1.000   0.3879   0.00700   0.00174  -0.1105   0.8708   0.2812
  -0.750   0.4152   0.00672   0.00173  -0.1103   0.8552   0.4000
  -0.500   0.4425   0.00657   0.00171  -0.1100   0.8385   0.4809
  -0.250   0.4696   0.00642   0.00169  -0.1097   0.8196   0.5557
   0.000   0.4955   0.00599   0.00170  -0.1091   0.8005   0.7229
   0.500   0.5431   0.00564   0.00157  -0.1064   0.7576   1.0000
   0.750   0.5704   0.00578   0.00156  -0.1061   0.7340   1.0000
   1.000   0.5976   0.00594   0.00158  -0.1058   0.7092   1.0000
   1.250   0.6247   0.00611   0.00160  -0.1055   0.6833   1.0000
   1.500   0.6518   0.00630   0.00164  -0.1052   0.6561   1.0000
   1.750   0.6786   0.00651   0.00171  -0.1048   0.6275   1.0000
   2.000   0.7054   0.00673   0.00178  -0.1045   0.5970   1.0000
   2.250   0.7320   0.00698   0.00187  -0.1042   0.5643   1.0000
   2.500   0.7585   0.00726   0.00198  -0.1039   0.5292   1.0000
   2.750   0.7847   0.00756   0.00212  -0.1035   0.4928   1.0000
   3.000   0.8110   0.00788   0.00227  -0.1032   0.4577   1.0000
   3.250   0.8372   0.00820   0.00244  -0.1030   0.4274   1.0000
   3.500   0.8636   0.00850   0.00262  -0.1027   0.4023   1.0000
   3.750   0.8901   0.00879   0.00283  -0.1024   0.3814   1.0000
   4.000   0.9167   0.00907   0.00303  -0.1022   0.3636   1.0000
   4.250   0.9432   0.00934   0.00324  -0.1020   0.3477   1.0000
   4.500   0.9697   0.00961   0.00346  -0.1017   0.3335   1.0000
   4.750   0.9962   0.00987   0.00370  -0.1015   0.3202   1.0000
   5.000   1.0227   0.01012   0.00394  -0.1012   0.3076   1.0000
   5.250   1.0491   0.01038   0.00418  -0.1010   0.2956   1.0000
   5.500   1.0753   0.01065   0.00443  -0.1007   0.2829   1.0000
   5.750   1.1011   0.01096   0.00469  -0.1004   0.2629   1.0000
   6.000   1.1269   0.01126   0.00493  -0.1001   0.2424   1.0000
