  
       XFOIL         Version 6.99
  
 Calculated polar for: BOEING 106 AIRFOIL                              
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.1297   0.00868   0.00239  -0.0655   0.7396   0.2695
  -1.750   0.1543   0.00831   0.00231  -0.0650   0.7307   0.3583
  -1.500   0.1782   0.00796   0.00221  -0.0642   0.7220   0.4519
  -1.250   0.1994   0.00744   0.00217  -0.0630   0.7121   0.5876
  -1.000   0.2212   0.00713   0.00219  -0.0615   0.7031   0.7009
  -0.750   0.2443   0.00694   0.00220  -0.0602   0.6935   0.7737
  -0.500   0.2686   0.00680   0.00225  -0.0591   0.6835   0.8366
  -0.250   0.2957   0.00679   0.00232  -0.0584   0.6735   0.8891
   0.000   0.3269   0.00687   0.00239  -0.0587   0.6628   0.9226
   0.250   0.3599   0.00697   0.00244  -0.0595   0.6520   0.9425
   0.500   0.3936   0.00709   0.00249  -0.0606   0.6413   0.9566
   0.750   0.4297   0.00723   0.00254  -0.0622   0.6303   0.9673
   1.000   0.4690   0.00735   0.00258  -0.0645   0.6183   0.9758
   1.250   0.5094   0.00746   0.00262  -0.0672   0.6063   0.9821
   1.500   0.5539   0.00757   0.00266  -0.0708   0.5947   0.9886
   1.750   0.5983   0.00768   0.00269  -0.0744   0.5834   0.9950
   2.250   0.6683   0.00784   0.00272  -0.0778   0.5613   1.0000
   2.500   0.6922   0.00793   0.00277  -0.0771   0.5512   1.0000
   2.750   0.7155   0.00806   0.00283  -0.0763   0.5403   1.0000
   3.000   0.7388   0.00818   0.00289  -0.0755   0.5286   1.0000
   3.250   0.7621   0.00829   0.00297  -0.0747   0.5168   1.0000
   3.500   0.7851   0.00843   0.00306  -0.0738   0.5056   1.0000
   3.750   0.8078   0.00859   0.00316  -0.0728   0.4952   1.0000
   4.000   0.8308   0.00872   0.00328  -0.0719   0.4843   1.0000
   4.250   0.8536   0.00886   0.00339  -0.0710   0.4735   1.0000
   4.500   0.8760   0.00903   0.00352  -0.0699   0.4621   1.0000
   4.750   0.8980   0.00921   0.00366  -0.0689   0.4514   1.0000
   5.000   0.9206   0.00937   0.00380  -0.0679   0.4398   1.0000
   5.250   0.9423   0.00955   0.00394  -0.0667   0.4259   1.0000
   5.500   0.9637   0.00976   0.00410  -0.0655   0.4115   1.0000
   5.750   0.9855   0.00996   0.00428  -0.0644   0.3996   1.0000
   6.000   1.0069   0.01018   0.00446  -0.0633   0.3881   1.0000
