  
       XFOIL         Version 6.99
  
 Calculated polar for: Bergey BW-3  (smoothed)                         
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.3574   0.01008   0.00435  -0.1342   0.8951   0.0653
  -1.750   0.3973   0.01067   0.00503  -0.1368   0.8844   0.0687
  -1.250   0.4606   0.01104   0.00527  -0.1381   0.8611   0.0769
  -1.000   0.4878   0.01145   0.00572  -0.1377   0.8477   0.0791
  -0.750   0.5144   0.01156   0.00577  -0.1372   0.8355   0.0830
  -0.500   0.5413   0.01127   0.00529  -0.1367   0.8255   0.0871
  -0.250   0.5667   0.01138   0.00547  -0.1360   0.8153   0.0896
   0.000   0.5930   0.01145   0.00555  -0.1355   0.8060   0.0929
   0.250   0.6193   0.01135   0.00532  -0.1349   0.7963   0.0966
   0.500   0.6450   0.01107   0.00493  -0.1341   0.7870   0.0988
   0.750   0.6712   0.01073   0.00456  -0.1336   0.7776   0.1010
   1.000   0.6964   0.01063   0.00447  -0.1328   0.7661   0.1033
   1.250   0.7211   0.01049   0.00427  -0.1318   0.7507   0.1051
   1.500   0.7460   0.01035   0.00405  -0.1309   0.7347   0.1070
   1.750   0.7709   0.01027   0.00391  -0.1299   0.7183   0.1088
   2.000   0.7959   0.01026   0.00384  -0.1290   0.7021   0.1103
   2.250   0.8207   0.01019   0.00369  -0.1280   0.6825   0.1113
   2.500   0.8462   0.00997   0.00345  -0.1274   0.6611   0.1131
   2.750   0.8702   0.00998   0.00340  -0.1263   0.6332   0.1148
   3.000   0.8931   0.01010   0.00340  -0.1250   0.5957   0.1165
   3.250   0.9149   0.01033   0.00346  -0.1234   0.5490   0.1189
   3.500   0.9337   0.01081   0.00362  -0.1214   0.4722   0.1212
   3.750   0.9487   0.01174   0.00395  -0.1187   0.3572   0.1224
   4.000   0.9593   0.01321   0.00455  -0.1155   0.1885   0.1235
   4.250   0.9726   0.01454   0.00526  -0.1127   0.0654   0.1251
   4.500   0.9965   0.01491   0.00563  -0.1119   0.0564   0.1278
   4.750   1.0208   0.01522   0.00599  -0.1111   0.0521   0.1309
   5.000   1.0418   0.01584   0.00665  -0.1096   0.0472   0.1338
   5.250   1.0663   0.01613   0.00699  -0.1088   0.0454   0.1372
   5.500   1.0908   0.01647   0.00741  -0.1081   0.0430   0.1426
   5.750   1.1136   0.01693   0.00789  -0.1071   0.0407   0.1472
   6.000   1.1311   0.01788   0.00891  -0.1050   0.0384   0.1526
