  
       XFOIL         Version 6.99
  
 Calculated polar for: LOCKHEED C-141 BL0 AIRFOIL                      
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.0779   0.00868   0.00437  -0.0408   0.9138   0.7077
  -1.750  -0.0526   0.00861   0.00434  -0.0401   0.9096   0.7263
  -1.500  -0.0225   0.00848   0.00424  -0.0403   0.9071   0.7430
  -1.250   0.0093   0.00833   0.00412  -0.0410   0.9050   0.7581
  -1.000   0.0414   0.00819   0.00400  -0.0416   0.9032   0.7724
  -0.500   0.0918   0.00805   0.00396  -0.0401   0.8936   0.8004
  -0.250   0.1221   0.00790   0.00387  -0.0403   0.8907   0.8164
   0.000   0.1534   0.00776   0.00378  -0.0406   0.8882   0.8347
   0.250   0.1767   0.00772   0.00381  -0.0393   0.8817   0.8487
   0.500   0.2082   0.00747   0.00358  -0.0396   0.8753   0.8579
   0.750   0.2353   0.00722   0.00331  -0.0389   0.8640   0.8680
   1.000   0.2658   0.00702   0.00312  -0.0389   0.8540   0.8763
   1.250   0.2925   0.00692   0.00304  -0.0384   0.8442   0.8859
   1.500   0.3189   0.00687   0.00302  -0.0377   0.8335   0.8953
   1.750   0.3471   0.00683   0.00299  -0.0375   0.8224   0.9039
   2.000   0.3731   0.00680   0.00297  -0.0368   0.8087   0.9141
   2.250   0.4012   0.00682   0.00299  -0.0365   0.7915   0.9215
   2.500   0.4268   0.00685   0.00299  -0.0357   0.7695   0.9313
   2.750   0.4559   0.00696   0.00301  -0.0357   0.7383   0.9376
   3.000   0.4801   0.00717   0.00306  -0.0346   0.7011   0.9466
   3.250   0.5082   0.00750   0.00321  -0.0345   0.6570   0.9523
   3.500   0.5308   0.00788   0.00338  -0.0333   0.6030   0.9608
   3.750   0.5576   0.00848   0.00364  -0.0332   0.5247   0.9659
   4.000   0.5792   0.00930   0.00398  -0.0323   0.4224   0.9735
   4.250   0.6082   0.01027   0.00440  -0.0333   0.3092   0.9771
   4.500   0.6367   0.01104   0.00478  -0.0340   0.2333   0.9826
   4.750   0.6696   0.01163   0.00512  -0.0357   0.1820   0.9860
   5.000   0.7044   0.01216   0.00545  -0.0376   0.1466   0.9890
   5.250   0.7383   0.01262   0.00577  -0.0394   0.1223   0.9928
   5.500   0.7728   0.01309   0.00611  -0.0413   0.1039   0.9956
   5.750   0.8081   0.01349   0.00645  -0.0433   0.0907   0.9982
   6.000   0.8363   0.01390   0.00679  -0.0438   0.0810   1.0000
