  
       XFOIL         Version 6.99
  
 Calculated polar for: LOCKHEED C-141 BL113.6 AIRFOIL                  
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.0635   0.00836   0.00406  -0.0436   0.9182   0.7076
  -1.750  -0.0427   0.00834   0.00410  -0.0419   0.9127   0.7273
  -1.500  -0.0152   0.00823   0.00403  -0.0417   0.9090   0.7456
  -1.250   0.0153   0.00808   0.00392  -0.0420   0.9065   0.7626
  -1.000   0.0466   0.00793   0.00381  -0.0425   0.9044   0.7785
  -0.750   0.0749   0.00783   0.00377  -0.0423   0.9011   0.7944
  -0.500   0.0989   0.00778   0.00377  -0.0413   0.8953   0.8101
  -0.250   0.1281   0.00765   0.00370  -0.0413   0.8918   0.8269
   0.000   0.1587   0.00753   0.00362  -0.0414   0.8890   0.8468
   0.250   0.1832   0.00749   0.00365  -0.0403   0.8828   0.8634
   0.500   0.2135   0.00727   0.00344  -0.0403   0.8757   0.8740
   0.750   0.2402   0.00704   0.00321  -0.0395   0.8639   0.8850
   1.000   0.2694   0.00690   0.00308  -0.0393   0.8536   0.8940
   1.250   0.2976   0.00683   0.00301  -0.0390   0.8441   0.9033
   1.500   0.3229   0.00681   0.00300  -0.0381   0.8327   0.9140
   1.750   0.3519   0.00681   0.00301  -0.0380   0.8208   0.9216
   2.000   0.3782   0.00681   0.00301  -0.0374   0.8064   0.9314
   2.250   0.4082   0.00685   0.00303  -0.0375   0.7886   0.9378
   2.500   0.4349   0.00690   0.00303  -0.0369   0.7662   0.9464
   2.750   0.4665   0.00704   0.00307  -0.0375   0.7339   0.9512
   3.000   0.4912   0.00727   0.00313  -0.0365   0.6962   0.9597
   3.250   0.5235   0.00760   0.00327  -0.0374   0.6489   0.9630
   3.500   0.5529   0.00804   0.00345  -0.0378   0.5871   0.9680
   3.750   0.5779   0.00867   0.00370  -0.0374   0.5004   0.9741
   4.000   0.6051   0.00960   0.00407  -0.0379   0.3816   0.9784
   4.250   0.6302   0.01046   0.00445  -0.0380   0.2832   0.9845
   5.000   0.7295   0.01221   0.00543  -0.0430   0.1364   0.9943
   5.250   0.7647   0.01264   0.00573  -0.0450   0.1133   0.9967
   5.500   0.7996   0.01306   0.00605  -0.0469   0.0969   0.9993
   5.750   0.8186   0.01341   0.00634  -0.0455   0.0866   1.0000
   6.000   0.8327   0.01362   0.00655  -0.0429   0.0801   1.0000
