  
       XFOIL         Version 6.99
  
 Calculated polar for: LOCKHEED C-141 BL610.61 AIRFOIL                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.0011   0.00828   0.00344  -0.0563   0.9289   0.5087
  -1.750   0.0250   0.00768   0.00334  -0.0554   0.9251   0.6462
  -1.500   0.0529   0.00736   0.00325  -0.0551   0.9224   0.7165
  -1.250   0.0796   0.00716   0.00320  -0.0546   0.9187   0.7625
  -1.000   0.1037   0.00702   0.00318  -0.0534   0.9128   0.8014
  -0.750   0.1312   0.00686   0.00314  -0.0528   0.9090   0.8399
  -0.500   0.1606   0.00675   0.00309  -0.0527   0.9060   0.8694
  -0.250   0.1846   0.00675   0.00314  -0.0514   0.8992   0.8914
   0.000   0.2116   0.00671   0.00313  -0.0507   0.8941   0.9167
   0.250   0.2389   0.00668   0.00312  -0.0497   0.8858   0.9368
   0.500   0.2684   0.00658   0.00297  -0.0493   0.8738   0.9499
   0.750   0.2980   0.00654   0.00288  -0.0489   0.8592   0.9609
   1.000   0.3368   0.00656   0.00284  -0.0509   0.8451   0.9662
   1.250   0.3704   0.00660   0.00283  -0.0518   0.8297   0.9736
   1.500   0.4128   0.00664   0.00283  -0.0548   0.8151   0.9763
   1.750   0.4509   0.00668   0.00283  -0.0569   0.7989   0.9802
   2.000   0.4855   0.00673   0.00284  -0.0583   0.7770   0.9853
   2.250   0.5236   0.00680   0.00281  -0.0604   0.7495   0.9881
   2.500   0.5586   0.00694   0.00281  -0.0619   0.7114   0.9920
   2.750   0.5920   0.00720   0.00284  -0.0631   0.6592   0.9955
   3.000   0.6244   0.00765   0.00292  -0.0643   0.5763   0.9987
   3.250   0.6446   0.00836   0.00311  -0.0631   0.4635   1.0000
   3.500   0.6569   0.00917   0.00337  -0.0604   0.3476   1.0000
   3.750   0.6707   0.00987   0.00364  -0.0579   0.2591   1.0000
   4.000   0.6859   0.01043   0.00389  -0.0557   0.1981   1.0000
   4.250   0.7021   0.01090   0.00414  -0.0535   0.1543   1.0000
   4.500   0.7194   0.01129   0.00437  -0.0515   0.1284   1.0000
   4.750   0.7373   0.01162   0.00461  -0.0496   0.1142   1.0000
   5.000   0.7559   0.01191   0.00487  -0.0478   0.1050   1.0000
   5.250   0.7737   0.01227   0.00516  -0.0459   0.0973   1.0000
   5.500   0.7933   0.01251   0.00541  -0.0443   0.0917   1.0000
   5.750   0.8110   0.01290   0.00576  -0.0423   0.0857   1.0000
   6.000   0.8316   0.01312   0.00600  -0.0409   0.0811   1.0000
