  
       XFOIL         Version 6.99
  
 Calculated polar for: LOCKHEED C-141 BL958.89 AIRFOIL                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.1152   0.01141   0.00506  -0.0795   0.9356   0.0562
  -1.750   0.1432   0.01111   0.00477  -0.0792   0.9307   0.0585
  -1.500   0.1702   0.01071   0.00442  -0.0788   0.9253   0.0612
  -1.250   0.2017   0.01038   0.00412  -0.0793   0.9216   0.0649
  -1.000   0.2318   0.01000   0.00378  -0.0794   0.9172   0.0692
  -0.750   0.2569   0.00976   0.00356  -0.0784   0.9089   0.0739
  -0.500   0.2872   0.00939   0.00325  -0.0786   0.9041   0.0822
   0.250   0.3594   0.00710   0.00251  -0.0761   0.8732   0.5632
   0.500   0.3767   0.00619   0.00248  -0.0731   0.8576   0.8262
   0.750   0.4003   0.00601   0.00248  -0.0711   0.8419   0.9277
   1.000   0.4387   0.00605   0.00247  -0.0726   0.8258   0.9684
   1.250   0.4822   0.00615   0.00247  -0.0756   0.8039   0.9860
   1.500   0.5340   0.00629   0.00246  -0.0805   0.7723   0.9962
   1.750   0.5695   0.00643   0.00244  -0.0820   0.7356   1.0000
   2.000   0.5902   0.00663   0.00242  -0.0803   0.6920   1.0000
   2.250   0.6089   0.00693   0.00246  -0.0782   0.6370   1.0000
   2.500   0.6240   0.00741   0.00256  -0.0755   0.5586   1.0000
   2.750   0.6352   0.00817   0.00278  -0.0722   0.4466   1.0000
   3.000   0.6476   0.00899   0.00306  -0.0692   0.3390   1.0000
   3.250   0.6656   0.00950   0.00329  -0.0673   0.2843   1.0000
   3.500   0.6862   0.00986   0.00347  -0.0659   0.2541   1.0000
   3.750   0.7081   0.01015   0.00366  -0.0646   0.2332   1.0000
   4.000   0.7307   0.01043   0.00384  -0.0636   0.2166   1.0000
   4.250   0.7538   0.01069   0.00403  -0.0626   0.2013   1.0000
   4.500   0.7770   0.01097   0.00423  -0.0616   0.1848   1.0000
   4.750   0.8000   0.01128   0.00443  -0.0607   0.1643   1.0000
   5.000   0.8226   0.01165   0.00465  -0.0597   0.1385   1.0000
   5.250   0.8448   0.01206   0.00493  -0.0586   0.1199   1.0000
   5.500   0.8673   0.01247   0.00524  -0.0575   0.1100   1.0000
   5.750   0.8905   0.01280   0.00555  -0.0566   0.1040   1.0000
   6.000   0.9130   0.01320   0.00590  -0.0556   0.0988   1.0000
