  
       XFOIL         Version 6.99
  
 Calculated polar for: CLARK V AIRFOIL                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.2233   0.00815   0.00273  -0.1039   0.8825   0.3575
  -1.750   0.2484   0.00790   0.00265  -0.1033   0.8753   0.4160
  -1.500   0.2768   0.00756   0.00253  -0.1034   0.8704   0.4899
  -1.250   0.2999   0.00723   0.00250  -0.1025   0.8625   0.5815
  -1.000   0.3255   0.00682   0.00242  -0.1018   0.8562   0.6904
  -0.750   0.3464   0.00651   0.00244  -0.1000   0.8462   0.7944
  -0.500   0.3702   0.00634   0.00245  -0.0985   0.8360   0.8724
  -0.250   0.4006   0.00631   0.00245  -0.0985   0.8271   0.9244
   0.000   0.4355   0.00636   0.00247  -0.0997   0.8182   0.9539
   0.250   0.4730   0.00642   0.00248  -0.1016   0.8098   0.9724
   0.500   0.5198   0.00648   0.00247  -0.1056   0.8015   0.9857
   0.750   0.5685   0.00652   0.00247  -0.1102   0.7917   0.9947
   1.000   0.6119   0.00654   0.00243  -0.1136   0.7807   1.0000
   1.250   0.6352   0.00658   0.00239  -0.1127   0.7667   1.0000
   1.500   0.6580   0.00664   0.00237  -0.1116   0.7511   1.0000
   1.750   0.6807   0.00671   0.00238  -0.1105   0.7362   1.0000
   2.000   0.7037   0.00679   0.00240  -0.1095   0.7229   1.0000
   2.250   0.7263   0.00688   0.00243  -0.1084   0.7086   1.0000
   2.500   0.7486   0.00699   0.00248  -0.1072   0.6936   1.0000
   2.750   0.7707   0.00711   0.00254  -0.1059   0.6784   1.0000
   3.000   0.7927   0.00724   0.00262  -0.1047   0.6632   1.0000
   3.250   0.8144   0.00738   0.00270  -0.1034   0.6474   1.0000
   3.500   0.8355   0.00755   0.00280  -0.1020   0.6303   1.0000
   3.750   0.8564   0.00772   0.00291  -0.1005   0.6123   1.0000
   4.000   0.8772   0.00791   0.00303  -0.0990   0.5924   1.0000
   4.250   0.8968   0.00815   0.00317  -0.0973   0.5693   1.0000
   4.500   0.9165   0.00839   0.00333  -0.0956   0.5437   1.0000
   4.750   0.9364   0.00866   0.00350  -0.0940   0.5182   1.0000
   5.000   0.9558   0.00896   0.00370  -0.0924   0.4903   1.0000
   5.250   0.9749   0.00930   0.00391  -0.0907   0.4605   1.0000
   5.500   0.9932   0.00969   0.00417  -0.0889   0.4281   1.0000
   5.750   1.0116   0.01010   0.00444  -0.0871   0.3971   1.0000
