  
       XFOIL         Version 6.99
  
 Calculated polar for: CLARK Y AIRFOIL                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.1774   0.00886   0.00238  -0.0851   0.7873   0.1359
  -1.750   0.2036   0.00859   0.00228  -0.0848   0.7769   0.1935
  -1.500   0.2302   0.00837   0.00221  -0.0846   0.7679   0.2504
  -1.250   0.2570   0.00820   0.00215  -0.0844   0.7587   0.3012
  -1.000   0.2836   0.00799   0.00210  -0.0841   0.7496   0.3588
  -0.750   0.3094   0.00773   0.00206  -0.0837   0.7405   0.4405
  -0.500   0.3335   0.00730   0.00205  -0.0831   0.7305   0.5753
  -0.250   0.3548   0.00680   0.00210  -0.0815   0.7213   0.7439
   0.000   0.3760   0.00653   0.00219  -0.0794   0.7123   0.8814
   0.250   0.4104   0.00654   0.00225  -0.0803   0.7023   0.9454
   0.500   0.4535   0.00662   0.00225  -0.0833   0.6918   0.9767
   0.750   0.5081   0.00670   0.00224  -0.0890   0.6802   0.9960
   1.000   0.5439   0.00676   0.00222  -0.0907   0.6686   1.0000
   1.250   0.5688   0.00682   0.00222  -0.0901   0.6570   1.0000
   1.500   0.5936   0.00690   0.00223  -0.0894   0.6453   1.0000
   1.750   0.6182   0.00699   0.00225  -0.0887   0.6329   1.0000
   2.000   0.6426   0.00709   0.00228  -0.0879   0.6194   1.0000
   2.250   0.6669   0.00720   0.00232  -0.0872   0.6051   1.0000
   2.500   0.6911   0.00732   0.00237  -0.0864   0.5903   1.0000
   2.750   0.7152   0.00746   0.00244  -0.0856   0.5747   1.0000
   3.000   0.7390   0.00761   0.00252  -0.0847   0.5577   1.0000
   3.250   0.7624   0.00779   0.00261  -0.0838   0.5389   1.0000
   3.500   0.7857   0.00799   0.00271  -0.0828   0.5189   1.0000
   3.750   0.8090   0.00821   0.00284  -0.0819   0.4963   1.0000
   4.000   0.8315   0.00848   0.00298  -0.0808   0.4691   1.0000
   4.250   0.8536   0.00879   0.00315  -0.0797   0.4390   1.0000
   4.500   0.8759   0.00913   0.00334  -0.0787   0.4114   1.0000
   4.750   0.8984   0.00947   0.00355  -0.0778   0.3896   1.0000
   5.000   0.9218   0.00976   0.00376  -0.0770   0.3727   1.0000
   5.250   0.9455   0.01006   0.00399  -0.0763   0.3592   1.0000
   5.500   0.9694   0.01033   0.00422  -0.0756   0.3485   1.0000
   5.750   0.9941   0.01056   0.00444  -0.0751   0.3400   1.0000
   6.000   1.0179   0.01086   0.00469  -0.0744   0.3320   1.0000
