  
       XFOIL         Version 6.99
  
 Calculated polar for: CLARK-Y 11.7% smoothed                          
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.1944   0.00842   0.00236  -0.0863   0.7936   0.2322
  -1.750   0.2195   0.00823   0.00227  -0.0857   0.7844   0.2810
  -1.500   0.2433   0.00802   0.00221  -0.0848   0.7743   0.3320
  -1.250   0.2669   0.00779   0.00215  -0.0839   0.7647   0.3971
  -1.000   0.2893   0.00750   0.00210  -0.0827   0.7554   0.4896
  -0.750   0.3081   0.00708   0.00210  -0.0807   0.7453   0.6178
  -0.250   0.3585   0.00644   0.00222  -0.0787   0.7263   0.8877
   0.000   0.4234   0.00653   0.00231  -0.0864   0.7152   0.9451
   0.250   0.4684   0.00667   0.00238  -0.0899   0.7043   0.9640
   0.500   0.5134   0.00684   0.00245  -0.0933   0.6930   0.9787
   0.750   0.5627   0.00698   0.00249  -0.0978   0.6802   0.9893
   1.000   0.6075   0.00707   0.00250  -0.1014   0.6671   0.9961
   1.250   0.6471   0.00712   0.00247  -0.1040   0.6537   1.0000
   1.500   0.6679   0.00718   0.00247  -0.1026   0.6403   1.0000
   1.750   0.6888   0.00726   0.00248  -0.1011   0.6267   1.0000
   2.000   0.7096   0.00735   0.00250  -0.0996   0.6122   1.0000
   2.250   0.7304   0.00745   0.00254  -0.0981   0.5974   1.0000
   2.500   0.7512   0.00757   0.00259  -0.0966   0.5823   1.0000
   2.750   0.7717   0.00770   0.00265  -0.0950   0.5666   1.0000
   3.000   0.7919   0.00786   0.00273  -0.0934   0.5499   1.0000
   3.250   0.8119   0.00803   0.00282  -0.0917   0.5321   1.0000
   3.500   0.8319   0.00820   0.00293  -0.0901   0.5137   1.0000
   3.750   0.8518   0.00840   0.00305  -0.0884   0.4954   1.0000
   4.000   0.8707   0.00863   0.00318  -0.0866   0.4757   1.0000
   4.250   0.8894   0.00888   0.00334  -0.0847   0.4524   1.0000
   4.500   0.9072   0.00917   0.00351  -0.0827   0.4292   1.0000
   4.750   0.9260   0.00944   0.00368  -0.0808   0.4082   1.0000
   5.000   0.9445   0.00973   0.00388  -0.0790   0.3895   1.0000
   5.250   0.9633   0.01001   0.00408  -0.0772   0.3734   1.0000
   5.500   0.9824   0.01028   0.00429  -0.0755   0.3585   1.0000
   5.750   1.0019   0.01055   0.00450  -0.0739   0.3451   1.0000
   6.000   1.0213   0.01081   0.00473  -0.0722   0.3322   1.0000
