  
       XFOIL         Version 6.99
  
 Calculated polar for: CLARK Z AIRFOIL                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.2340   0.01018   0.00334  -0.0917   0.7647   0.0479
  -1.750   0.2612   0.01003   0.00315  -0.0914   0.7548   0.0493
  -1.500   0.2878   0.00973   0.00283  -0.0910   0.7457   0.0518
  -1.250   0.3149   0.00959   0.00266  -0.0907   0.7357   0.0547
  -1.000   0.3420   0.00942   0.00249  -0.0904   0.7260   0.0597
  -0.500   0.3952   0.00893   0.00228  -0.0897   0.7061   0.1448
  -0.250   0.4217   0.00872   0.00224  -0.0895   0.6962   0.2090
   0.000   0.4465   0.00826   0.00221  -0.0891   0.6862   0.3640
   0.250   0.4675   0.00745   0.00225  -0.0879   0.6756   0.6448
   0.500   0.4850   0.00689   0.00238  -0.0851   0.6658   0.8740
   0.750   0.5348   0.00692   0.00243  -0.0892   0.6544   0.9787
   1.000   0.5907   0.00700   0.00241  -0.0952   0.6412   1.0000
   1.250   0.6154   0.00708   0.00242  -0.0945   0.6294   1.0000
   1.500   0.6400   0.00718   0.00244  -0.0937   0.6173   1.0000
   1.750   0.6644   0.00729   0.00246  -0.0929   0.6049   1.0000
   2.000   0.6887   0.00742   0.00250  -0.0921   0.5922   1.0000
   2.250   0.7130   0.00754   0.00255  -0.0913   0.5786   1.0000
   2.500   0.7372   0.00767   0.00261  -0.0905   0.5647   1.0000
   2.750   0.7614   0.00781   0.00268  -0.0897   0.5504   1.0000
   3.000   0.7853   0.00798   0.00276  -0.0888   0.5344   1.0000
   3.250   0.8092   0.00816   0.00285  -0.0879   0.5179   1.0000
   3.500   0.8330   0.00836   0.00296  -0.0871   0.5013   1.0000
   3.750   0.8568   0.00857   0.00308  -0.0863   0.4842   1.0000
   4.000   0.8809   0.00878   0.00321  -0.0855   0.4672   1.0000
   4.250   0.9051   0.00900   0.00335  -0.0848   0.4523   1.0000
   4.500   0.9292   0.00923   0.00351  -0.0841   0.4374   1.0000
   4.750   0.9532   0.00947   0.00368  -0.0833   0.4216   1.0000
   5.000   0.9773   0.00972   0.00385  -0.0826   0.4069   1.0000
   5.250   1.0018   0.00995   0.00404  -0.0820   0.3943   1.0000
   5.500   1.0264   0.01017   0.00423  -0.0815   0.3826   1.0000
   5.750   1.0508   0.01041   0.00444  -0.0808   0.3708   1.0000
   6.000   1.0747   0.01067   0.00465  -0.0802   0.3589   1.0000
