  
       XFOIL         Version 6.99
  
 Calculated polar for: CLARK YM-18 AIRFOIL                             
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.1876   0.00969   0.00324  -0.0807   0.6877   0.3234
  -1.750   0.2138   0.00961   0.00317  -0.0803   0.6796   0.3383
  -1.500   0.2400   0.00952   0.00313  -0.0799   0.6716   0.3551
  -1.250   0.2659   0.00942   0.00307  -0.0794   0.6633   0.3756
  -0.750   0.3162   0.00915   0.00301  -0.0782   0.6467   0.4450
  -0.500   0.3402   0.00897   0.00299  -0.0774   0.6385   0.5019
  -0.250   0.3631   0.00874   0.00300  -0.0764   0.6295   0.5737
   0.000   0.3853   0.00854   0.00303  -0.0751   0.6207   0.6476
   0.500   0.4317   0.00835   0.00316  -0.0727   0.6011   0.7592
   0.750   0.4556   0.00836   0.00322  -0.0716   0.5908   0.7968
   1.000   0.4804   0.00837   0.00330  -0.0707   0.5805   0.8285
   1.250   0.5046   0.00845   0.00339  -0.0697   0.5699   0.8564
   1.500   0.5292   0.00854   0.00349  -0.0687   0.5581   0.8803
   1.750   0.5537   0.00865   0.00359  -0.0677   0.5461   0.9016
   2.000   0.5782   0.00882   0.00372  -0.0668   0.5331   0.9200
   2.250   0.6028   0.00901   0.00384  -0.0659   0.5185   0.9361
   2.750   0.6615   0.00950   0.00417  -0.0663   0.4817   0.9595
   3.000   0.6917   0.00979   0.00435  -0.0668   0.4591   0.9691
   3.250   0.7270   0.01017   0.00458  -0.0686   0.4342   0.9756
   3.500   0.7619   0.01055   0.00481  -0.0703   0.4116   0.9817
   3.750   0.8009   0.01092   0.00505  -0.0729   0.3933   0.9857
   4.000   0.8399   0.01132   0.00533  -0.0755   0.3798   0.9916
   4.250   0.8822   0.01166   0.00557  -0.0788   0.3688   0.9955
   4.500   0.9244   0.01196   0.00581  -0.0821   0.3607   0.9993
   4.750   0.9408   0.01214   0.00596  -0.0801   0.3552   1.0000
   5.000   0.9481   0.01234   0.00611  -0.0763   0.3504   1.0000
   5.250   0.9568   0.01251   0.00625  -0.0727   0.3462   1.0000
   5.500   0.9654   0.01262   0.00637  -0.0689   0.3421   1.0000
   5.750   0.9723   0.01277   0.00650  -0.0649   0.3378   1.0000
   6.000   0.9812   0.01302   0.00669  -0.0613   0.3333   1.0000
