  
       XFOIL         Version 6.99
  
 Calculated polar for: Coanda 1                                        
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.0067   0.01229   0.00627  -0.0340   0.9512   0.0757
  -1.750   0.0470   0.01240   0.00649  -0.0368   0.9475   0.0844
  -1.500   0.0810   0.01244   0.00658  -0.0383   0.9403   0.0952
  -1.250   0.1201   0.01182   0.00586  -0.0405   0.9346   0.0966
  -1.000   0.1542   0.01131   0.00526  -0.0417   0.9244   0.0976
  -0.750   0.1909   0.01080   0.00469  -0.0434   0.9125   0.0980
  -0.500   0.2280   0.01035   0.00418  -0.0453   0.8966   0.0981
  -0.250   0.2612   0.00998   0.00374  -0.0463   0.8772   0.0981
   0.000   0.2918   0.00970   0.00339  -0.0468   0.8535   0.0979
   0.250   0.3198   0.00947   0.00308  -0.0466   0.8232   0.0978
   0.500   0.3457   0.00935   0.00282  -0.0460   0.7847   0.0977
   0.750   0.3698   0.00931   0.00264  -0.0451   0.7493   0.0980
   1.000   0.3931   0.00931   0.00253  -0.0440   0.7176   0.0987
   1.250   0.4163   0.00930   0.00243  -0.0429   0.6883   0.0990
   1.500   0.4392   0.00928   0.00233  -0.0418   0.6593   0.0992
   1.750   0.4617   0.00930   0.00227  -0.0406   0.6288   0.0997
   2.000   0.4841   0.00935   0.00225  -0.0394   0.5965   0.1003
   2.250   0.5051   0.00943   0.00219  -0.0380   0.5564   0.1017
   2.500   0.5244   0.00955   0.00212  -0.0362   0.5017   0.1042
   2.750   0.5431   0.00987   0.00217  -0.0344   0.4219   0.1062
   3.000   0.5594   0.01052   0.00235  -0.0323   0.3132   0.1078
   3.250   0.5774   0.01115   0.00254  -0.0307   0.2185   0.1097
   3.500   0.5959   0.01181   0.00278  -0.0291   0.1398   0.1113
   3.750   0.6108   0.01289   0.00334  -0.0268   0.0195   0.1126
   4.000   0.6344   0.01313   0.00372  -0.0258   0.0153   0.1136
   4.250   0.6571   0.01344   0.00425  -0.0246   0.0138   0.1159
   4.500   0.6795   0.01381   0.00472  -0.0235   0.0133   0.1188
   4.750   0.7003   0.01440   0.00544  -0.0219   0.0117   0.1222
   5.000   0.7206   0.01501   0.00615  -0.0203   0.0122   0.1270
   5.250   0.7367   0.01559   0.00713  -0.0179   0.0145   0.3109
