  
       XFOIL         Version 6.99
  
 Calculated polar for: DAE-51 AIRFOIL                                  
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.2506   0.00911   0.00259  -0.1030   0.8069   0.0488
  -1.750   0.2794   0.00872   0.00233  -0.1032   0.8001   0.0853
  -1.500   0.3076   0.00821   0.00218  -0.1035   0.7941   0.2031
  -1.250   0.3359   0.00776   0.00213  -0.1039   0.7875   0.3361
  -1.000   0.3638   0.00734   0.00210  -0.1041   0.7810   0.4789
  -0.750   0.3911   0.00696   0.00212  -0.1041   0.7742   0.6194
  -0.500   0.4166   0.00658   0.00213  -0.1034   0.7672   0.7571
  -0.250   0.4369   0.00611   0.00208  -0.1011   0.7601   0.9419
   0.000   0.4693   0.00610   0.00198  -0.1019   0.7526   1.0000
   0.250   0.4980   0.00614   0.00195  -0.1021   0.7445   1.0000
   0.500   0.5264   0.00621   0.00190  -0.1021   0.7369   1.0000
   0.750   0.5550   0.00624   0.00190  -0.1022   0.7276   1.0000
   1.000   0.5834   0.00631   0.00189  -0.1022   0.7189   1.0000
   1.250   0.6116   0.00638   0.00188  -0.1023   0.7099   1.0000
   1.500   0.6400   0.00644   0.00190  -0.1023   0.6996   1.0000
   1.750   0.6682   0.00652   0.00193  -0.1024   0.6893   1.0000
   2.000   0.6963   0.00660   0.00196  -0.1024   0.6788   1.0000
   2.250   0.7242   0.00670   0.00200  -0.1023   0.6677   1.0000
   2.500   0.7522   0.00680   0.00205  -0.1023   0.6557   1.0000
   2.750   0.7800   0.00690   0.00212  -0.1023   0.6431   1.0000
   3.000   0.8077   0.00702   0.00220  -0.1023   0.6301   1.0000
   3.250   0.8353   0.00715   0.00229  -0.1022   0.6165   1.0000
   3.500   0.8627   0.00730   0.00240  -0.1022   0.6024   1.0000
   3.750   0.8900   0.00746   0.00251  -0.1021   0.5877   1.0000
   4.000   0.9171   0.00763   0.00264  -0.1019   0.5726   1.0000
   4.250   0.9441   0.00782   0.00278  -0.1018   0.5563   1.0000
   4.500   0.9709   0.00801   0.00295  -0.1017   0.5387   1.0000
   4.750   0.9974   0.00823   0.00312  -0.1015   0.5197   1.0000
   5.000   1.0235   0.00848   0.00331  -0.1012   0.4979   1.0000
   5.250   1.0490   0.00878   0.00353  -0.1009   0.4723   1.0000
   5.750   1.0993   0.00946   0.00403  -0.1002   0.4185   1.0000
   6.000   1.1231   0.00993   0.00435  -0.0996   0.3809   1.0000
