  
       XFOIL         Version 6.99
  
 Calculated polar for: Dayton-Wright T-1                               
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.4564   0.00877   0.00253  -0.0937   0.6901   0.3405
  -1.750   0.4825   0.00878   0.00252  -0.0933   0.6776   0.3571
  -1.500   0.5084   0.00880   0.00252  -0.0928   0.6649   0.3738
  -1.000   0.5593   0.00880   0.00255  -0.0918   0.6388   0.4172
  -0.750   0.5839   0.00874   0.00257  -0.0912   0.6256   0.4563
  -0.500   0.5945   0.00774   0.00267  -0.0876   0.6136   0.8225
  -0.250   0.6422   0.00783   0.00295  -0.0913   0.5979   0.9530
   0.000   0.6849   0.00806   0.00309  -0.0945   0.5822   0.9770
   0.250   0.7304   0.00829   0.00321  -0.0983   0.5660   0.9884
   0.500   0.7776   0.00850   0.00332  -0.1027   0.5484   0.9960
   0.750   0.8183   0.00869   0.00341  -0.1057   0.5304   1.0000
   1.000   0.8388   0.00886   0.00349  -0.1044   0.5142   1.0000
   1.250   0.8587   0.00904   0.00358  -0.1029   0.4973   1.0000
   1.500   0.8779   0.00925   0.00369  -0.1013   0.4797   1.0000
   1.750   0.8966   0.00947   0.00382  -0.0996   0.4616   1.0000
   2.000   0.9153   0.00970   0.00396  -0.0979   0.4428   1.0000
   2.250   0.9333   0.00995   0.00411  -0.0961   0.4237   1.0000
   2.500   0.9509   0.01023   0.00429  -0.0942   0.4051   1.0000
   2.750   0.9681   0.01052   0.00448  -0.0923   0.3876   1.0000
   3.000   0.9855   0.01081   0.00468  -0.0904   0.3721   1.0000
   3.250   1.0033   0.01109   0.00489  -0.0886   0.3586   1.0000
   3.500   1.0212   0.01137   0.00511  -0.0868   0.3470   1.0000
   3.750   1.0385   0.01168   0.00535  -0.0850   0.3364   1.0000
   4.000   1.0570   0.01196   0.00558  -0.0834   0.3262   1.0000
   4.250   1.0759   0.01224   0.00582  -0.0819   0.3175   1.0000
   4.500   1.0941   0.01255   0.00608  -0.0803   0.3096   1.0000
   4.750   1.1130   0.01281   0.00634  -0.0788   0.3030   1.0000
   5.000   1.1312   0.01309   0.00660  -0.0773   0.2969   1.0000
   5.250   1.1480   0.01347   0.00693  -0.0755   0.2916   1.0000
   5.500   1.1689   0.01369   0.00720  -0.0745   0.2871   1.0000
   5.750   1.1883   0.01399   0.00749  -0.0733   0.2818   1.0000
   6.000   1.2059   0.01440   0.00787  -0.0718   0.2768   1.0000
