  
       XFOIL         Version 6.99
  
 Calculated polar for: SIKORSKY DBLN-526 AIRFOIL                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -1.250   0.1909   0.01559   0.01026  -0.0782   0.8292   0.7799
  -1.000   0.2278   0.01534   0.01002  -0.0809   0.8276   0.7861
  -0.750   0.2657   0.01500   0.00984  -0.0837   0.8262   0.8096
  -0.500   0.3085   0.01472   0.00956  -0.0879   0.8250   0.8189
   0.000   0.3538   0.01557   0.01059  -0.0865   0.8155   0.8592
   0.250   0.3966   0.01586   0.01090  -0.0906   0.8133   0.8679
   0.750   0.4973   0.01646   0.01151  -0.1026   0.8099   0.8827
   1.000   0.5462   0.01657   0.01160  -0.1082   0.8085   0.8899
   1.250   0.5953   0.01656   0.01157  -0.1138   0.8069   0.8973
   1.750   0.6066   0.01757   0.01261  -0.1041   0.7960   0.9246
   2.000   0.6334   0.01747   0.01248  -0.1044   0.7919   0.9323
   2.250   0.6821   0.01731   0.01226  -0.1100   0.7889   0.9338
   2.500   0.6842   0.01798   0.01296  -0.1044   0.7821   0.9417
