  
       XFOIL         Version 6.99
  
 Calculated polar for: DEFIANT CANARD BL20 AIRFOIL                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.1678   0.01111   0.00412  -0.0634   0.5202   0.3563
  -1.750   0.1948   0.01114   0.00415  -0.0632   0.5170   0.3774
  -1.500   0.2214   0.01109   0.00416  -0.0628   0.5145   0.3945
  -1.250   0.2483   0.01106   0.00417  -0.0625   0.5115   0.4090
  -1.000   0.2756   0.01105   0.00416  -0.0622   0.5084   0.4228
  -0.750   0.3025   0.01103   0.00415  -0.0619   0.5055   0.4358
  -0.500   0.3298   0.01106   0.00415  -0.0617   0.5026   0.4470
  -0.250   0.3573   0.01114   0.00421  -0.0616   0.4995   0.4581
   0.000   0.3839   0.01111   0.00423  -0.0612   0.4968   0.4682
   0.250   0.4108   0.01111   0.00425  -0.0609   0.4936   0.4789
   0.500   0.4376   0.01109   0.00426  -0.0606   0.4907   0.4894
   0.750   0.4646   0.01111   0.00426  -0.0604   0.4879   0.5003
   1.000   0.4914   0.01114   0.00428  -0.0601   0.4849   0.5110
   1.250   0.5181   0.01120   0.00435  -0.0598   0.4818   0.5243
   1.500   0.5437   0.01116   0.00440  -0.0593   0.4790   0.5392
   1.750   0.5693   0.01113   0.00444  -0.0588   0.4759   0.5547
   2.000   0.5947   0.01108   0.00446  -0.0583   0.4728   0.5728
   2.250   0.6199   0.01105   0.00448  -0.0577   0.4699   0.5945
   2.500   0.6446   0.01107   0.00456  -0.0571   0.4667   0.6276
   2.750   0.6660   0.01093   0.00467  -0.0558   0.4641   0.6824
   3.000   0.6850   0.01070   0.00479  -0.0538   0.4611   0.7699
   3.250   0.7124   0.01055   0.00495  -0.0534   0.4578   0.8697
   3.500   0.7667   0.01068   0.00515  -0.0587   0.4542   0.9250
   3.750   0.8156   0.01093   0.00532  -0.0630   0.4506   0.9496
   4.000   0.8601   0.01110   0.00551  -0.0665   0.4472   0.9625
   4.250   0.9014   0.01126   0.00568  -0.0692   0.4436   0.9722
   4.500   0.9405   0.01142   0.00582  -0.0716   0.4401   0.9811
   4.750   0.9840   0.01159   0.00592  -0.0749   0.4365   0.9867
   5.000   1.0244   0.01182   0.00609  -0.0776   0.4326   0.9926
   5.250   1.0685   0.01192   0.00622  -0.0812   0.4291   0.9972
   5.500   1.1063   0.01203   0.00633  -0.0835   0.4253   1.0000
   5.750   1.1239   0.01214   0.00643  -0.0817   0.4220   1.0000
   6.000   1.1418   0.01232   0.00654  -0.0800   0.4187   1.0000
