  
       XFOIL         Version 6.99
  
 Calculated polar for: DEFIANT CANARD BL145 AIRFOIL                    
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.0597   0.00784   0.00208  -0.0474   0.7302   0.3604
  -1.750   0.0805   0.00748   0.00203  -0.0460   0.7085   0.4788
  -1.500   0.1019   0.00724   0.00200  -0.0444   0.6865   0.5625
  -1.250   0.1231   0.00708   0.00200  -0.0428   0.6644   0.6377
  -1.000   0.1457   0.00703   0.00201  -0.0413   0.6441   0.6933
  -0.750   0.1688   0.00699   0.00201  -0.0400   0.6261   0.7407
  -0.500   0.1925   0.00693   0.00200  -0.0387   0.6096   0.7778
  -0.250   0.2161   0.00684   0.00201  -0.0374   0.5937   0.8237
   0.000   0.2434   0.00679   0.00210  -0.0367   0.5781   0.8924
   0.250   0.2807   0.00688   0.00216  -0.0384   0.5614   0.9243
   0.500   0.3207   0.00703   0.00220  -0.0407   0.5439   0.9445
   0.750   0.3604   0.00717   0.00225  -0.0431   0.5278   0.9592
   1.000   0.4008   0.00732   0.00230  -0.0456   0.5120   0.9687
   1.250   0.4391   0.00747   0.00235  -0.0477   0.4966   0.9777
   1.500   0.4776   0.00763   0.00241  -0.0499   0.4802   0.9860
   1.750   0.5186   0.00776   0.00245  -0.0527   0.4633   0.9919
   2.000   0.5593   0.00790   0.00249  -0.0554   0.4454   0.9975
   2.250   0.5922   0.00802   0.00252  -0.0566   0.4287   1.0000
   2.500   0.6139   0.00814   0.00257  -0.0553   0.4129   1.0000
   2.750   0.6356   0.00829   0.00263  -0.0540   0.3951   1.0000
   3.000   0.6570   0.00848   0.00271  -0.0527   0.3744   1.0000
   3.250   0.6786   0.00868   0.00281  -0.0514   0.3502   1.0000
   3.500   0.7000   0.00892   0.00292  -0.0501   0.3276   1.0000
   3.750   0.7216   0.00916   0.00305  -0.0488   0.3070   1.0000
   4.000   0.7435   0.00940   0.00320  -0.0475   0.2912   1.0000
   4.250   0.7655   0.00965   0.00337  -0.0463   0.2785   1.0000
   4.500   0.7881   0.00986   0.00353  -0.0452   0.2680   1.0000
   4.750   0.8107   0.01008   0.00372  -0.0441   0.2598   1.0000
   5.000   0.8332   0.01031   0.00391  -0.0431   0.2523   1.0000
   5.250   0.8560   0.01054   0.00412  -0.0420   0.2455   1.0000
   5.500   0.8790   0.01076   0.00432  -0.0410   0.2392   1.0000
   5.750   0.9011   0.01103   0.00455  -0.0399   0.2318   1.0000
   6.000   0.9247   0.01121   0.00475  -0.0390   0.2257   1.0000
