  
       XFOIL         Version 6.99
  
 Calculated polar for: D.G.A. 1138                                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.1423   0.00874   0.00226  -0.0607   0.9089   0.0540
  -1.750   0.1697   0.00861   0.00208  -0.0605   0.8998   0.0550
  -1.500   0.1968   0.00851   0.00193  -0.0601   0.8899   0.0559
  -1.250   0.2235   0.00841   0.00179  -0.0597   0.8776   0.0577
  -0.750   0.2758   0.00794   0.00161  -0.0587   0.8505   0.1664
  -0.500   0.3022   0.00776   0.00161  -0.0584   0.8366   0.2287
   0.250   0.4102   0.00588   0.00170  -0.0641   0.7740   1.0000
   0.500   0.4357   0.00597   0.00167  -0.0634   0.7501   1.0000
   0.750   0.4610   0.00610   0.00167  -0.0628   0.7222   1.0000
   1.000   0.4857   0.00627   0.00169  -0.0621   0.6835   1.0000
   1.250   0.5080   0.00665   0.00170  -0.0608   0.5918   1.0000
   1.750   0.5556   0.00735   0.00197  -0.0593   0.5163   1.0000
   2.000   0.5808   0.00756   0.00211  -0.0588   0.4971   1.0000
   2.250   0.6064   0.00774   0.00224  -0.0584   0.4760   1.0000
   2.500   0.6316   0.00795   0.00237  -0.0579   0.4441   1.0000
   2.750   0.6516   0.00876   0.00257  -0.0567   0.3035   1.0000
   3.000   0.6724   0.00960   0.00292  -0.0558   0.2050   1.0000
   3.250   0.6968   0.00998   0.00318  -0.0553   0.1817   1.0000
   3.500   0.7214   0.01032   0.00344  -0.0548   0.1643   1.0000
   3.750   0.7464   0.01061   0.00368  -0.0544   0.1488   1.0000
   4.000   0.7715   0.01089   0.00386  -0.0540   0.1159   1.0000
   4.250   0.7934   0.01164   0.00430  -0.0532   0.0590   1.0000
   4.500   0.8152   0.01248   0.00497  -0.0521   0.0216   1.0000
   4.750   0.8391   0.01300   0.00558  -0.0514   0.0182   1.0000
   5.000   0.8624   0.01364   0.00633  -0.0504   0.0161   1.0000
   5.250   0.8839   0.01456   0.00738  -0.0492   0.0148   1.0000
   5.500   0.9020   0.01594   0.00889  -0.0474   0.0135   1.0000
   5.750   0.9248   0.01660   0.00964  -0.0466   0.0129   1.0000
   6.000   0.9458   0.01759   0.01072  -0.0453   0.0125   1.0000
