  
       XFOIL         Version 6.99
  
 Calculated polar for: DSMA-523B AIRFOIL                               
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.1132   0.01313   0.00916  -0.1045   0.9994   0.6146
  -1.750   0.1716   0.01294   0.00895  -0.1106   0.9942   0.6310
  -1.250   0.2786   0.01209   0.00813  -0.1203   0.9807   0.6494
  -1.000   0.3369   0.01139   0.00746  -0.1259   0.9735   0.6581
  -0.750   0.3773   0.01112   0.00728  -0.1274   0.9651   0.6670
  -0.500   0.3670   0.01126   0.00748  -0.1183   0.9340   0.6722
  -0.250   0.4729   0.00983   0.00602  -0.1336   0.9068   0.6821
   0.000   0.4905   0.01224   0.00640  -0.1306   0.4398   0.6847
   0.250   0.5090   0.01336   0.00682  -0.1285   0.2776   0.6877
   0.500   0.5317   0.01428   0.00715  -0.1274   0.1492   0.6911
   0.750   0.5606   0.01486   0.00743  -0.1276   0.1019   0.6960
   1.000   0.5866   0.01517   0.00766  -0.1270   0.0892   0.6985
   1.250   0.6111   0.01547   0.00794  -0.1258   0.0822   0.7004
   1.500   0.6348   0.01585   0.00833  -0.1245   0.0766   0.7024
   1.750   0.6592   0.01616   0.00865  -0.1233   0.0727   0.7050
   2.000   0.6846   0.01659   0.00904  -0.1225   0.0684   0.7085
   2.250   0.7139   0.01691   0.00934  -0.1227   0.0654   0.7120
   2.500   0.7457   0.01720   0.00959  -0.1236   0.0625   0.7146
   2.750   0.7712   0.01741   0.00978  -0.1229   0.0599   0.7167
   3.000   0.7941   0.01789   0.01028  -0.1215   0.0576   0.7185
   3.250   0.8192   0.01814   0.01057  -0.1206   0.0558   0.7201
   3.500   0.8472   0.01840   0.01083  -0.1205   0.0540   0.7208
   3.750   0.8748   0.01870   0.01111  -0.1204   0.0522   0.7217
   4.000   0.9002   0.01949   0.01186  -0.1198   0.0503   0.7228
   4.250   0.9285   0.01975   0.01216  -0.1198   0.0493   0.7237
   4.500   0.9568   0.02008   0.01252  -0.1198   0.0479   0.7245
   4.750   0.9851   0.02039   0.01283  -0.1199   0.0463   0.7253
   5.000   1.0130   0.02074   0.01314  -0.1199   0.0449   0.7261
   5.250   1.0395   0.02170   0.01409  -0.1197   0.0434   0.7269
   5.500   1.0677   0.02198   0.01444  -0.1197   0.0424   0.7277
   5.750   1.0955   0.02238   0.01489  -0.1196   0.0412   0.7284
   6.000   1.1229   0.02284   0.01537  -0.1195   0.0401   0.7292
