  
       XFOIL         Version 6.99
  
 Calculated polar for: EPPLER E1212 AIRFOIL                            
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.1114   0.01110   0.00361  -0.0600   0.4718   0.2459
  -1.750   0.1390   0.01113   0.00357  -0.0597   0.4637   0.2499
  -1.500   0.1676   0.01110   0.00354  -0.0595   0.4557   0.2537
  -1.250   0.1956   0.01115   0.00350  -0.0592   0.4478   0.2568
  -1.000   0.2233   0.01103   0.00342  -0.0589   0.4407   0.2622
  -0.750   0.2512   0.01102   0.00340  -0.0586   0.4331   0.2669
  -0.500   0.2790   0.01106   0.00339  -0.0583   0.4258   0.2713
  -0.250   0.3074   0.01106   0.00337  -0.0581   0.4187   0.2756
   0.000   0.3346   0.01103   0.00335  -0.0578   0.4116   0.2820
   0.250   0.3627   0.01104   0.00337  -0.0575   0.4050   0.2879
   0.500   0.3908   0.01108   0.00337  -0.0573   0.3980   0.2932
   0.750   0.4177   0.01110   0.00339  -0.0569   0.3915   0.3012
   1.000   0.4460   0.01109   0.00342  -0.0567   0.3853   0.3096
   1.250   0.4734   0.01110   0.00344  -0.0564   0.3788   0.3189
   1.500   0.5008   0.01117   0.00350  -0.0561   0.3729   0.3296
   1.750   0.5286   0.01114   0.00355  -0.0559   0.3672   0.3429
   2.000   0.5558   0.01118   0.00360  -0.0556   0.3612   0.3590
   2.250   0.5827   0.01122   0.00369  -0.0552   0.3556   0.3806
   2.500   0.6102   0.01119   0.00377  -0.0550   0.3501   0.4080
   2.750   0.6369   0.01120   0.00387  -0.0546   0.3447   0.4416
   3.000   0.6630   0.01125   0.00400  -0.0541   0.3395   0.4830
   3.250   0.6899   0.01117   0.00412  -0.0538   0.3348   0.5344
   3.500   0.7157   0.01111   0.00425  -0.0532   0.3296   0.5978
   3.750   0.7398   0.01110   0.00442  -0.0524   0.3244   0.6736
   4.000   0.7633   0.01095   0.00459  -0.0512   0.3203   0.7648
   4.250   0.7840   0.01077   0.00476  -0.0492   0.3160   0.8798
   4.500   0.8419   0.01093   0.00494  -0.0551   0.3098   1.0000
   4.750   0.8666   0.01114   0.00510  -0.0544   0.3055   1.0000
   5.000   0.8924   0.01127   0.00523  -0.0538   0.3012   1.0000
   5.250   0.9175   0.01146   0.00538  -0.0531   0.2967   1.0000
   5.500   0.9417   0.01172   0.00557  -0.0524   0.2923   1.0000
   5.750   0.9672   0.01191   0.00575  -0.0518   0.2887   1.0000
   6.000   0.9929   0.01207   0.00592  -0.0513   0.2848   1.0000
