  
       XFOIL         Version 6.99
  
 Calculated polar for: EPPLER E1212MOD AIRFOIL                         
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.0013   0.01163   0.00390  -0.0463   0.4725   0.1962
  -1.750   0.0296   0.01155   0.00379  -0.0461   0.4671   0.1988
  -1.500   0.0570   0.01140   0.00365  -0.0456   0.4613   0.2030
  -1.250   0.0843   0.01135   0.00357  -0.0452   0.4552   0.2075
  -1.000   0.1127   0.01123   0.00349  -0.0449   0.4498   0.2124
  -0.750   0.1406   0.01111   0.00340  -0.0446   0.4437   0.2187
  -0.500   0.1680   0.01106   0.00334  -0.0442   0.4375   0.2276
  -0.250   0.1960   0.01095   0.00331  -0.0439   0.4314   0.2400
   0.000   0.2241   0.01087   0.00329  -0.0436   0.4243   0.2564
   0.250   0.2517   0.01088   0.00330  -0.0432   0.4174   0.2740
   0.500   0.2802   0.01083   0.00330  -0.0430   0.4101   0.2889
   0.750   0.3083   0.01087   0.00329  -0.0426   0.4022   0.3009
   1.000   0.3360   0.01084   0.00329  -0.0423   0.3945   0.3119
   1.250   0.3638   0.01087   0.00329  -0.0420   0.3863   0.3213
   1.500   0.3911   0.01089   0.00331  -0.0416   0.3786   0.3313
   1.750   0.4188   0.01093   0.00334  -0.0412   0.3711   0.3401
   2.000   0.4455   0.01101   0.00339  -0.0407   0.3638   0.3497
   2.500   0.5003   0.01109   0.00351  -0.0400   0.3509   0.3695
   2.750   0.5271   0.01119   0.00360  -0.0395   0.3449   0.3808
   3.000   0.5545   0.01122   0.00369  -0.0391   0.3394   0.3956
   3.250   0.5810   0.01129   0.00379  -0.0386   0.3338   0.4144
   3.500   0.6070   0.01140   0.00393  -0.0381   0.3284   0.4387
   3.750   0.6337   0.01136   0.00403  -0.0376   0.3241   0.4707
   4.000   0.6589   0.01129   0.00415  -0.0369   0.3194   0.5271
   4.250   0.6810   0.01113   0.00432  -0.0356   0.3151   0.6361
   4.500   0.7017   0.01100   0.00453  -0.0339   0.3110   0.7598
   4.750   0.7692   0.01080   0.00483  -0.0413   0.3057   0.9725
   5.000   0.8246   0.01104   0.00500  -0.0467   0.3006   0.9999
   5.250   0.8476   0.01130   0.00519  -0.0457   0.2968   1.0000
   5.500   0.8710   0.01153   0.00538  -0.0446   0.2939   1.0000
   5.750   0.8953   0.01168   0.00554  -0.0437   0.2913   1.0000
   6.000   0.9194   0.01186   0.00571  -0.0427   0.2886   1.0000
