  
       XFOIL         Version 6.99
  
 Calculated polar for: EPPLER 1233 AIRFOIL                             
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.2938   0.00945   0.00365  -0.0989   0.5203   0.6534
  -1.750   0.3204   0.00959   0.00368  -0.0986   0.5121   0.6652
  -1.500   0.3466   0.00972   0.00379  -0.0981   0.5045   0.6743
  -1.250   0.3734   0.00985   0.00383  -0.0978   0.4968   0.6835
  -1.000   0.3991   0.01001   0.00395  -0.0972   0.4901   0.6905
  -0.750   0.4260   0.01013   0.00402  -0.0969   0.4832   0.6983
  -0.500   0.4515   0.01029   0.00412  -0.0963   0.4765   0.7053
  -0.250   0.4772   0.01048   0.00429  -0.0956   0.4702   0.7144
   0.000   0.5024   0.01065   0.00444  -0.0949   0.4636   0.7232
   0.250   0.5269   0.01087   0.00460  -0.0941   0.4576   0.7300
   0.500   0.5539   0.01099   0.00469  -0.0939   0.4522   0.7363
   0.750   0.5793   0.01107   0.00474  -0.0934   0.4466   0.7403
   1.000   0.6040   0.01122   0.00483  -0.0927   0.4412   0.7437
   1.250   0.6300   0.01130   0.00490  -0.0924   0.4361   0.7472
   1.500   0.6557   0.01138   0.00495  -0.0920   0.4309   0.7508
   1.750   0.6811   0.01152   0.00500  -0.0916   0.4257   0.7542
   2.000   0.7063   0.01161   0.00507  -0.0912   0.4211   0.7572
   2.250   0.7311   0.01167   0.00515  -0.0906   0.4167   0.7600
   2.500   0.7555   0.01178   0.00523  -0.0900   0.4122   0.7629
   2.750   0.7798   0.01196   0.00534  -0.0894   0.4075   0.7662
   3.000   0.8052   0.01206   0.00543  -0.0890   0.4035   0.7697
   3.250   0.8305   0.01216   0.00552  -0.0887   0.3993   0.7727
   3.500   0.8542   0.01225   0.00560  -0.0879   0.3952   0.7754
   3.750   0.8777   0.01244   0.00574  -0.0872   0.3912   0.7782
   4.000   0.9021   0.01258   0.00590  -0.0867   0.3876   0.7813
   4.250   0.9265   0.01269   0.00603  -0.0861   0.3838   0.7845
   4.500   0.9507   0.01284   0.00615  -0.0856   0.3799   0.7876
   4.750   0.9748   0.01304   0.00630  -0.0851   0.3762   0.7906
   5.000   0.9985   0.01324   0.00649  -0.0845   0.3726   0.7934
   5.250   1.0217   0.01335   0.00666  -0.0838   0.3696   0.7964
   5.500   1.0449   0.01350   0.00683  -0.0831   0.3662   0.7995
   5.750   1.0678   0.01368   0.00700  -0.0824   0.3627   0.8026
   6.000   1.0910   0.01393   0.00720  -0.0818   0.3592   0.8058
