  
       XFOIL         Version 6.99
  
 Calculated polar for: E168  (12.45%)                                  
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.2162   0.00781   0.00199  -0.0026   0.7236   0.4577
  -1.750  -0.1895   0.00781   0.00193  -0.0022   0.7020   0.4711
  -1.500  -0.1626   0.00779   0.00188  -0.0019   0.6809   0.4849
  -1.250  -0.1357   0.00779   0.00183  -0.0015   0.6613   0.4990
  -1.000  -0.1086   0.00777   0.00180  -0.0012   0.6425   0.5131
  -0.750  -0.0815   0.00776   0.00177  -0.0009   0.6242   0.5278
  -0.500  -0.0544   0.00776   0.00175  -0.0006   0.6068   0.5428
  -0.250  -0.0272   0.00777   0.00173  -0.0003   0.5903   0.5583
   0.000   0.0000   0.00777   0.00173  -0.0000   0.5741   0.5741
   0.250   0.0272   0.00777   0.00173   0.0003   0.5582   0.5902
   0.500   0.0544   0.00776   0.00175   0.0006   0.5429   0.6068
   0.750   0.0815   0.00776   0.00177   0.0009   0.5278   0.6242
   1.000   0.1087   0.00777   0.00180   0.0012   0.5132   0.6425
   1.250   0.1358   0.00779   0.00183   0.0015   0.4989   0.6614
   1.500   0.1627   0.00779   0.00188   0.0019   0.4848   0.6809
   1.750   0.1896   0.00781   0.00193   0.0022   0.4712   0.7020
   2.000   0.2162   0.00781   0.00199   0.0026   0.4576   0.7236
   2.250   0.2428   0.00783   0.00205   0.0031   0.4443   0.7474
   2.500   0.2691   0.00784   0.00213   0.0036   0.4311   0.7728
   2.750   0.2951   0.00785   0.00221   0.0042   0.4180   0.8005
   3.250   0.3466   0.00785   0.00241   0.0056   0.3919   0.8674
   3.500   0.3762   0.00789   0.00254   0.0056   0.3782   0.9088
   3.750   0.4177   0.00803   0.00270   0.0030   0.3626   0.9424
   4.000   0.4601   0.00820   0.00285  -0.0000   0.3467   0.9646
   4.250   0.4986   0.00838   0.00300  -0.0022   0.3311   0.9810
   4.500   0.5390   0.00856   0.00314  -0.0048   0.3145   0.9910
   4.750   0.5807   0.00875   0.00328  -0.0078   0.2976   0.9982
   5.000   0.6102   0.00893   0.00342  -0.0082   0.2837   1.0000
   5.250   0.6338   0.00910   0.00357  -0.0074   0.2718   1.0000
   5.500   0.6575   0.00930   0.00375  -0.0065   0.2588   1.0000
   5.750   0.6813   0.00952   0.00392  -0.0057   0.2436   1.0000
   6.000   0.7048   0.00978   0.00412  -0.0049   0.2263   1.0000
