  
       XFOIL         Version 6.99
  
 Calculated polar for: (Dicke 12.28%)                                  
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.2212   0.00748   0.00208  -0.0006   0.7447   0.6164
  -1.750  -0.1936   0.00748   0.00203  -0.0005   0.7353   0.6255
  -1.500  -0.1661   0.00748   0.00201  -0.0004   0.7268   0.6341
  -1.250  -0.1386   0.00748   0.00198  -0.0003   0.7189   0.6418
  -1.000  -0.1108   0.00749   0.00195  -0.0003   0.7106   0.6502
  -0.750  -0.0832   0.00748   0.00194  -0.0001   0.7035   0.6575
  -0.500  -0.0554   0.00748   0.00193  -0.0001   0.6956   0.6657
  -0.250  -0.0278   0.00748   0.00193  -0.0000   0.6886   0.6736
   0.000   0.0000   0.00747   0.00193  -0.0000   0.6810   0.6810
   0.250   0.0278   0.00749   0.00193   0.0000   0.6736   0.6887
   0.500   0.0554   0.00748   0.00193   0.0001   0.6657   0.6956
   0.750   0.0833   0.00748   0.00194   0.0001   0.6575   0.7035
   1.000   0.1108   0.00749   0.00195   0.0002   0.6502   0.7106
   1.250   0.1386   0.00748   0.00198   0.0003   0.6418   0.7188
   1.500   0.1661   0.00748   0.00201   0.0004   0.6340   0.7268
   1.750   0.1936   0.00748   0.00203   0.0005   0.6256   0.7353
   2.000   0.2212   0.00748   0.00208   0.0006   0.6164   0.7447
   2.250   0.2485   0.00748   0.00212   0.0008   0.6078   0.7539
   2.500   0.2757   0.00748   0.00217   0.0009   0.5985   0.7639
   2.750   0.3029   0.00746   0.00223   0.0011   0.5881   0.7747
   3.000   0.3300   0.00746   0.00229   0.0013   0.5774   0.7864
   3.250   0.3568   0.00747   0.00235   0.0016   0.5663   0.7991
   3.500   0.3834   0.00746   0.00242   0.0020   0.5529   0.8128
   3.750   0.4095   0.00746   0.00250   0.0024   0.5363   0.8280
   4.000   0.4353   0.00748   0.00258   0.0029   0.5185   0.8451
   4.500   0.4860   0.00758   0.00278   0.0042   0.4663   0.8878
   4.750   0.5112   0.00786   0.00294   0.0047   0.4077   0.9141
   5.000   0.5418   0.00844   0.00327   0.0038   0.3296   0.9386
   5.250   0.5762   0.00912   0.00367   0.0019   0.2581   0.9584
   5.500   0.6109   0.00981   0.00410  -0.0001   0.1950   0.9732
   5.750   0.6452   0.01049   0.00454  -0.0021   0.1417   0.9849
   6.000   0.6811   0.01123   0.00506  -0.0045   0.0918   0.9932
