  
       XFOIL         Version 6.99
  
 Calculated polar for: E184  (8.33%)                                   
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.2399   0.00878   0.00212   0.0190   0.7177   0.2133
  -1.750  -0.2159   0.00810   0.00193   0.0195   0.7120   0.3537
  -1.500  -0.1921   0.00748   0.00180   0.0201   0.7056   0.4894
  -1.250  -0.1699   0.00691   0.00169   0.0212   0.7002   0.6254
  -1.000  -0.1502   0.00622   0.00164   0.0232   0.6941   0.7871
  -0.750  -0.0765   0.00618   0.00196   0.0144   0.6887   0.9647
  -0.500  -0.0337   0.00632   0.00204   0.0114   0.6824   0.9810
  -0.250   0.0134   0.00641   0.00202   0.0073   0.6766   0.9903
   0.000   0.0595   0.00643   0.00198   0.0034   0.6704   0.9974
   0.250   0.0944   0.00642   0.00190   0.0018   0.6642   1.0000
   0.500   0.1200   0.00641   0.00185   0.0022   0.6577   1.0000
   0.750   0.1456   0.00640   0.00179   0.0027   0.6505   1.0000
   1.000   0.1715   0.00640   0.00175   0.0031   0.6428   1.0000
   1.250   0.1974   0.00641   0.00171   0.0035   0.6354   1.0000
   1.500   0.2236   0.00640   0.00170   0.0039   0.6265   1.0000
   1.750   0.2498   0.00641   0.00169   0.0042   0.6185   1.0000
   2.000   0.2760   0.00643   0.00168   0.0046   0.6104   1.0000
   2.250   0.3024   0.00644   0.00170   0.0049   0.6004   1.0000
   2.500   0.3289   0.00646   0.00172   0.0052   0.5909   1.0000
   2.750   0.3553   0.00649   0.00174   0.0055   0.5808   1.0000
   3.000   0.3818   0.00653   0.00178   0.0059   0.5694   1.0000
   3.250   0.4083   0.00657   0.00184   0.0062   0.5566   1.0000
   3.500   0.4349   0.00662   0.00190   0.0064   0.5423   1.0000
   3.750   0.4615   0.00670   0.00195   0.0067   0.5203   1.0000
   4.000   0.4879   0.00685   0.00199   0.0070   0.4754   1.0000
   4.250   0.5144   0.00711   0.00213   0.0071   0.4280   1.0000
   4.500   0.5407   0.00760   0.00234   0.0070   0.3505   1.0000
   4.750   0.5662   0.00863   0.00280   0.0066   0.2233   1.0000
   5.000   0.5912   0.00963   0.00331   0.0062   0.1214   1.0000
   5.250   0.6157   0.01075   0.00396   0.0061   0.0328   1.0000
   5.500   0.6407   0.01150   0.00463   0.0063   0.0151   1.0000
   5.750   0.6657   0.01223   0.00549   0.0067   0.0129   1.0000
   6.000   0.6903   0.01286   0.00622   0.0072   0.0123   1.0000
