  
       XFOIL         Version 6.99
  
 Calculated polar for: E487                                            
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.2175   0.00922   0.00261  -0.0026   0.5956   0.3895
  -1.750  -0.1906   0.00919   0.00255  -0.0022   0.5776   0.3982
  -1.250  -0.1362   0.00916   0.00245  -0.0015   0.5443   0.4171
  -1.000  -0.1090   0.00915   0.00242  -0.0012   0.5285   0.4270
  -0.750  -0.0817   0.00916   0.00239  -0.0009   0.5136   0.4378
  -0.500  -0.0546   0.00914   0.00237  -0.0006   0.4993   0.4488
  -0.250  -0.0274   0.00914   0.00236  -0.0003   0.4857   0.4602
   0.000  -0.0000   0.00916   0.00235   0.0000   0.4726   0.4726
   0.250   0.0273   0.00914   0.00236   0.0003   0.4602   0.4857
   0.500   0.0545   0.00914   0.00237   0.0006   0.4488   0.4993
   0.750   0.0816   0.00916   0.00239   0.0010   0.4379   0.5135
   1.000   0.1089   0.00915   0.00242   0.0013   0.4271   0.5285
   1.250   0.1361   0.00916   0.00245   0.0016   0.4170   0.5442
   1.750   0.1905   0.00919   0.00255   0.0022   0.3983   0.5776
   2.000   0.2174   0.00922   0.00261   0.0026   0.3895   0.5957
   2.250   0.2446   0.00923   0.00267   0.0029   0.3809   0.6143
   2.500   0.2715   0.00927   0.00274   0.0033   0.3729   0.6332
   2.750   0.2983   0.00928   0.00282   0.0038   0.3645   0.6532
   3.000   0.3249   0.00931   0.00291   0.0042   0.3568   0.6740
   3.250   0.3517   0.00934   0.00300   0.0046   0.3487   0.6955
   3.500   0.3780   0.00938   0.00311   0.0052   0.3413   0.7182
   3.750   0.4043   0.00940   0.00321   0.0057   0.3335   0.7422
   4.000   0.4303   0.00945   0.00333   0.0063   0.3260   0.7668
   4.250   0.4563   0.00946   0.00344   0.0070   0.3181   0.7938
   4.500   0.4816   0.00951   0.00358   0.0077   0.3107   0.8225
   4.750   0.5074   0.00952   0.00371   0.0085   0.3027   0.8542
   5.000   0.5343   0.00959   0.00386   0.0090   0.2951   0.8890
   5.250   0.5687   0.00971   0.00405   0.0080   0.2859   0.9231
   5.500   0.6110   0.00990   0.00426   0.0052   0.2764   0.9459
   5.750   0.6512   0.01015   0.00446   0.0028   0.2665   0.9628
   6.000   0.6896   0.01034   0.00465   0.0007   0.2567   0.9756
