  
       XFOIL         Version 6.99
  
 Calculated polar for: EPPLER 59 AIRFOIL                               
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.4409   0.01199   0.00632  -0.1713   0.9400   0.0522
  -1.750   0.4760   0.01167   0.00598  -0.1729   0.9387   0.0557
  -1.500   0.5117   0.01137   0.00565  -0.1745   0.9377   0.0603
  -1.250   0.5497   0.01093   0.00523  -0.1767   0.9368   0.0739
  -1.000   0.5911   0.01031   0.00487  -0.1796   0.9360   0.1508
  -0.750   0.6323   0.00977   0.00460  -0.1826   0.9354   0.2488
   0.000   0.7263   0.00817   0.00446  -0.1849   0.9254   0.8082
   0.250   0.7597   0.00746   0.00397  -0.1854   0.9233   1.0000
   0.500   0.7924   0.00697   0.00343  -0.1858   0.9136   1.0000
   0.750   0.8283   0.00646   0.00288  -0.1869   0.9008   1.0000
   1.000   0.8603   0.00627   0.00265  -0.1875   0.8894   1.0000
   1.250   0.8927   0.00614   0.00249  -0.1882   0.8761   1.0000
   1.500   0.9270   0.00603   0.00233  -0.1894   0.8581   1.0000
   1.750   0.9593   0.00601   0.00222  -0.1901   0.8294   1.0000
   2.000   0.9885   0.00618   0.00217  -0.1900   0.7827   1.0000
   2.250   1.0091   0.00669   0.00230  -0.1881   0.7094   1.0000
   2.500   1.0187   0.00769   0.00265  -0.1841   0.5842   1.0000
   2.750   1.0342   0.00855   0.00307  -0.1816   0.5112   1.0000
   3.000   1.0538   0.00919   0.00340  -0.1800   0.4426   1.0000
   3.250   1.0662   0.01061   0.00402  -0.1773   0.2867   1.0000
   3.500   1.0855   0.01157   0.00451  -0.1758   0.1972   1.0000
   3.750   1.1008   0.01308   0.00529  -0.1738   0.0624   1.0000
   4.000   1.1245   0.01356   0.00570  -0.1730   0.0493   1.0000
   4.250   1.1488   0.01395   0.00612  -0.1722   0.0468   1.0000
   4.500   1.1729   0.01436   0.00658  -0.1715   0.0454   1.0000
   4.750   1.1963   0.01485   0.00711  -0.1706   0.0436   1.0000
   5.000   1.2188   0.01545   0.00779  -0.1695   0.0419   1.0000
   5.250   1.2422   0.01588   0.00830  -0.1687   0.0408   1.0000
   5.500   1.2650   0.01639   0.00886  -0.1677   0.0389   1.0000
   5.750   1.2869   0.01698   0.00950  -0.1667   0.0365   1.0000
   6.000   1.3048   0.01809   0.01068  -0.1649   0.0329   1.0000
