  
       XFOIL         Version 6.99
  
 Calculated polar for: EPPLER 637 AIRFOIL                              
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.0071   0.01350   0.00562  -0.0119   0.4955   0.0196
  -1.750   0.0184   0.01286   0.00490  -0.0111   0.4877   0.0197
  -1.500   0.0433   0.01241   0.00435  -0.0103   0.4809   0.0202
  -1.250   0.0680   0.01197   0.00387  -0.0094   0.4740   0.0210
  -1.000   0.0919   0.01160   0.00346  -0.0085   0.4678   0.0223
  -0.750   0.1179   0.01140   0.00324  -0.0080   0.4613   0.0246
  -0.500   0.1427   0.01113   0.00293  -0.0072   0.4551   0.0274
  -0.250   0.1682   0.01093   0.00271  -0.0065   0.4496   0.0334
   0.000   0.1847   0.00980   0.00248  -0.0045   0.4445   0.3059
   0.250   0.2269   0.00825   0.00295  -0.0069   0.4385   0.9404
   0.500   0.3223   0.00925   0.00377  -0.0197   0.4296   0.9703
   0.750   0.3869   0.00960   0.00391  -0.0271   0.4229   0.9809
   1.000   0.4367   0.00962   0.00387  -0.0316   0.4175   0.9878
   1.250   0.4715   0.00959   0.00376  -0.0332   0.4125   0.9900
   1.500   0.5047   0.00963   0.00370  -0.0345   0.4078   0.9926
   1.750   0.5372   0.00961   0.00366  -0.0356   0.4033   0.9950
   2.000   0.5715   0.00956   0.00355  -0.0371   0.3987   0.9968
   2.250   0.6047   0.00959   0.00348  -0.0384   0.3946   0.9987
   2.500   0.6357   0.00957   0.00346  -0.0392   0.3904   1.0000
   2.750   0.6597   0.00961   0.00349  -0.0386   0.3867   1.0000
   3.000   0.6835   0.00968   0.00352  -0.0379   0.3832   1.0000
   3.250   0.7070   0.00983   0.00359  -0.0372   0.3792   1.0000
   3.500   0.7311   0.00986   0.00366  -0.0366   0.3760   1.0000
   3.750   0.7551   0.00992   0.00372  -0.0359   0.3724   1.0000
   4.000   0.7789   0.01001   0.00379  -0.0352   0.3690   1.0000
   4.250   0.8025   0.01017   0.00389  -0.0345   0.3656   1.0000
   4.500   0.8265   0.01024   0.00400  -0.0339   0.3623   1.0000
   4.750   0.8504   0.01031   0.00409  -0.0332   0.3587   1.0000
   5.000   0.8742   0.01041   0.00419  -0.0326   0.3554   1.0000
   5.250   0.8977   0.01056   0.00432  -0.0318   0.3522   1.0000
   5.500   0.9214   0.01070   0.00447  -0.0312   0.3488   1.0000
   5.750   0.9451   0.01078   0.00460  -0.0305   0.3453   1.0000
   6.000   0.9687   0.01089   0.00474  -0.0298   0.3418   1.0000
