  
       XFOIL         Version 6.99
  
 Calculated polar for: E64  (8.45%)                                    
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.2568   0.00727   0.00232  -0.1165   0.9265   0.3698
  -1.750   0.2864   0.00691   0.00222  -0.1169   0.9204   0.4612
  -1.500   0.3160   0.00652   0.00215  -0.1173   0.9138   0.5714
  -1.250   0.3444   0.00627   0.00209  -0.1172   0.9065   0.6475
  -1.000   0.3733   0.00607   0.00202  -0.1172   0.8989   0.7061
  -0.750   0.3992   0.00592   0.00200  -0.1165   0.8893   0.7611
  -0.500   0.4250   0.00578   0.00197  -0.1157   0.8803   0.8161
   0.000   0.4707   0.00557   0.00189  -0.1126   0.8594   0.9144
   0.250   0.5002   0.00546   0.00179  -0.1125   0.8478   0.9722
   0.500   0.5322   0.00546   0.00172  -0.1134   0.8354   1.0000
   0.750   0.5600   0.00551   0.00170  -0.1132   0.8223   1.0000
   1.000   0.5874   0.00558   0.00169  -0.1131   0.8086   1.0000
   1.250   0.6146   0.00566   0.00170  -0.1128   0.7937   1.0000
   1.500   0.6415   0.00575   0.00171  -0.1125   0.7775   1.0000
   1.750   0.6681   0.00585   0.00174  -0.1121   0.7601   1.0000
   2.000   0.6944   0.00597   0.00180  -0.1117   0.7414   1.0000
   2.250   0.7205   0.00611   0.00185  -0.1113   0.7219   1.0000
   2.500   0.7463   0.00625   0.00193  -0.1108   0.7004   1.0000
   2.750   0.7718   0.00642   0.00201  -0.1102   0.6774   1.0000
   3.000   0.7969   0.00662   0.00213  -0.1096   0.6517   1.0000
   3.250   0.8215   0.00684   0.00225  -0.1088   0.6232   1.0000
   3.500   0.8460   0.00709   0.00239  -0.1081   0.5939   1.0000
   3.750   0.8692   0.00741   0.00257  -0.1072   0.5544   1.0000
   4.000   0.8908   0.00785   0.00277  -0.1060   0.5028   1.0000
   4.250   0.9125   0.00833   0.00301  -0.1048   0.4499   1.0000
   4.500   0.9347   0.00881   0.00328  -0.1039   0.3998   1.0000
   4.750   0.9562   0.00939   0.00361  -0.1028   0.3440   1.0000
   5.000   0.9773   0.01003   0.00397  -0.1018   0.2852   1.0000
   5.250   0.9990   0.01065   0.00434  -0.1009   0.2361   1.0000
   5.500   1.0209   0.01127   0.00475  -0.1000   0.1898   1.0000
   5.750   1.0420   0.01196   0.00521  -0.0990   0.1442   1.0000
   6.000   1.0631   0.01267   0.00570  -0.0980   0.1020   1.0000
