  
       XFOIL         Version 6.99
  
 Calculated polar for: EPPLER 817 HYDROFOIL AIRFOIL                    
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.2178   0.00901   0.00381  -0.1307   0.9115   0.4804
  -1.750   0.2488   0.00896   0.00379  -0.1315   0.9104   0.4924
  -1.500   0.2800   0.00893   0.00379  -0.1323   0.9094   0.5047
  -1.250   0.3004   0.00907   0.00397  -0.1310   0.9054   0.5162
  -1.000   0.3278   0.00908   0.00403  -0.1311   0.9029   0.5283
  -0.750   0.3575   0.00905   0.00404  -0.1316   0.9011   0.5406
  -0.500   0.3885   0.00899   0.00404  -0.1323   0.8995   0.5533
  -0.250   0.4202   0.00893   0.00403  -0.1331   0.8981   0.5660
   0.000   0.4483   0.00893   0.00409  -0.1332   0.8955   0.5785
   0.250   0.4731   0.00894   0.00419  -0.1326   0.8911   0.5907
   0.500   0.5040   0.00883   0.00414  -0.1332   0.8882   0.6035
   0.750   0.5373   0.00865   0.00403  -0.1342   0.8857   0.6165
   1.000   0.5631   0.00861   0.00407  -0.1336   0.8804   0.6292
   1.250   0.5935   0.00842   0.00397  -0.1339   0.8754   0.6422
   1.500   0.6236   0.00823   0.00385  -0.1341   0.8696   0.6552
   1.750   0.6528   0.00799   0.00368  -0.1340   0.8618   0.6685
   2.000   0.6803   0.00772   0.00348  -0.1334   0.8505   0.6816
   2.250   0.7072   0.00750   0.00332  -0.1328   0.8382   0.6949
   2.500   0.7333   0.00737   0.00331  -0.1321   0.8268   0.7084
   2.750   0.7589   0.00725   0.00327  -0.1313   0.8129   0.7220
   3.000   0.7841   0.00716   0.00327  -0.1305   0.7963   0.7360
   3.250   0.8065   0.00709   0.00325  -0.1290   0.7634   0.7501
   3.500   0.8197   0.00747   0.00319  -0.1254   0.6506   0.7644
   3.750   0.8192   0.00873   0.00372  -0.1196   0.4994   0.7795
   4.000   0.8160   0.01040   0.00446  -0.1139   0.3057   0.7954
   4.250   0.8220   0.01186   0.00515  -0.1102   0.1465   0.8124
   4.500   0.8367   0.01276   0.00570  -0.1080   0.0704   0.8318
   4.750   0.8539   0.01339   0.00619  -0.1060   0.0333   0.8526
   5.000   0.8674   0.01439   0.00729  -0.1028   0.0108   0.8773
   5.250   0.8810   0.01487   0.00794  -0.0997   0.0097   0.9127
   5.500   0.8958   0.01543   0.00865  -0.0969   0.0090   1.0000
   5.750   0.9155   0.01641   0.00971  -0.0954   0.0086   1.0000
   6.000   0.9355   0.01745   0.01083  -0.0940   0.0082   1.0000
