  
       XFOIL         Version 6.99
  
 Calculated polar for: EPPLER E836 HYDROFOIL AIRFOIL                   
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.2220   0.00754   0.00290   0.0001   0.8223   0.7406
  -1.750  -0.1944   0.00757   0.00288   0.0002   0.8184   0.7480
  -1.500  -0.1666   0.00761   0.00289   0.0002   0.8152   0.7546
  -1.250  -0.1391   0.00764   0.00291   0.0002   0.8107   0.7621
  -1.000  -0.1112   0.00765   0.00292   0.0001   0.8066   0.7677
  -0.750  -0.0834   0.00769   0.00292   0.0001   0.8031   0.7740
  -0.500  -0.0556   0.00770   0.00295   0.0001   0.7987   0.7792
  -0.250  -0.0278   0.00771   0.00297   0.0000   0.7942   0.7847
   0.000   0.0000   0.00773   0.00294  -0.0000   0.7902   0.7902
   0.250   0.0278   0.00771   0.00297  -0.0000   0.7848   0.7942
   0.500   0.0556   0.00770   0.00295  -0.0001   0.7792   0.7987
   0.750   0.0834   0.00769   0.00292  -0.0001   0.7740   0.8031
   1.000   0.1112   0.00765   0.00292  -0.0002   0.7677   0.8066
   1.250   0.1392   0.00764   0.00291  -0.0002   0.7622   0.8107
   1.500   0.1666   0.00761   0.00289  -0.0002   0.7547   0.8152
   1.750   0.1944   0.00757   0.00288  -0.0002   0.7481   0.8185
   2.000   0.2220   0.00754   0.00290  -0.0001   0.7407   0.8223
   2.250   0.2495   0.00753   0.00289  -0.0001   0.7329   0.8266
   2.500   0.2770   0.00749   0.00286  -0.0000   0.7242   0.8302
   2.750   0.3042   0.00745   0.00289   0.0001   0.7139   0.8339
   3.000   0.3315   0.00743   0.00293   0.0002   0.7034   0.8381
   3.250   0.3585   0.00741   0.00293   0.0003   0.6906   0.8422
   3.500   0.3848   0.00740   0.00293   0.0007   0.6729   0.8458
   3.750   0.4108   0.00741   0.00296   0.0011   0.6503   0.8500
   4.000   0.4362   0.00748   0.00299   0.0015   0.6218   0.8546
   4.250   0.4596   0.00763   0.00307   0.0024   0.5746   0.8584
   4.500   0.4778   0.00812   0.00322   0.0041   0.4838   0.8634
   4.750   0.4941   0.00881   0.00351   0.0060   0.3867   0.8685
   5.000   0.5114   0.00948   0.00386   0.0076   0.3026   0.8735
   5.250   0.5293   0.01014   0.00422   0.0090   0.2270   0.8794
   5.500   0.5461   0.01086   0.00461   0.0106   0.1514   0.8846
   5.750   0.5629   0.01158   0.00503   0.0121   0.0876   0.8910
   6.000   0.5793   0.01232   0.00554   0.0139   0.0421   0.8972
