  
       XFOIL         Version 6.99
  
 Calculated polar for: EPPLER E852 AIRFOIL                             
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.2023   0.00698   0.00199  -0.1107   0.8645   0.5723
  -1.750   0.2313   0.00700   0.00198  -0.1110   0.8601   0.5883
  -1.500   0.2584   0.00700   0.00199  -0.1109   0.8545   0.5997
  -1.250   0.2866   0.00700   0.00196  -0.1110   0.8497   0.6092
  -1.000   0.3149   0.00702   0.00195  -0.1112   0.8453   0.6182
  -0.750   0.3425   0.00702   0.00196  -0.1112   0.8402   0.6271
  -0.500   0.3709   0.00702   0.00197  -0.1114   0.8360   0.6357
  -0.250   0.3985   0.00703   0.00201  -0.1114   0.8314   0.6450
   0.000   0.4263   0.00705   0.00203  -0.1115   0.8266   0.6551
   0.250   0.4548   0.00707   0.00207  -0.1117   0.8226   0.6653
   0.500   0.4816   0.00706   0.00213  -0.1115   0.8170   0.6760
   0.750   0.5094   0.00707   0.00218  -0.1115   0.8119   0.6876
   1.000   0.5365   0.00708   0.00224  -0.1114   0.8061   0.7002
   1.250   0.5637   0.00707   0.00228  -0.1112   0.7994   0.7140
   1.500   0.5901   0.00706   0.00233  -0.1109   0.7916   0.7290
   1.750   0.6170   0.00705   0.00239  -0.1106   0.7837   0.7451
   2.000   0.6426   0.00701   0.00243  -0.1100   0.7738   0.7633
   2.250   0.6676   0.00697   0.00247  -0.1093   0.7620   0.7837
   2.500   0.6922   0.00693   0.00251  -0.1085   0.7495   0.8070
   2.750   0.7164   0.00688   0.00259  -0.1076   0.7382   0.8338
   3.000   0.7394   0.00683   0.00267  -0.1063   0.7265   0.8671
   3.250   0.7592   0.00675   0.00275  -0.1043   0.7128   0.9140
   3.500   0.7892   0.00668   0.00275  -0.1045   0.6919   1.0000
   3.750   0.8132   0.00680   0.00282  -0.1037   0.6630   1.0000
   4.000   0.8348   0.00703   0.00291  -0.1024   0.6158   1.0000
   4.250   0.8458   0.00784   0.00317  -0.0990   0.4962   1.0000
   4.500   0.8504   0.00937   0.00383  -0.0950   0.3254   1.0000
   4.750   0.8598   0.01079   0.00449  -0.0921   0.1816   1.0000
   5.000   0.8744   0.01186   0.00507  -0.0901   0.0925   1.0000
   5.250   0.8936   0.01259   0.00560  -0.0887   0.0510   1.0000
   5.500   0.9105   0.01355   0.00629  -0.0869   0.0113   1.0000
   5.750   0.9297   0.01439   0.00723  -0.0851   0.0060   1.0000
   6.000   0.9495   0.01515   0.00809  -0.0836   0.0052   1.0000
