  
       XFOIL         Version 6.99
  
 Calculated polar for: EPPLER 862 STRUT AIRFOIL                        
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.2411   0.01565   0.00789   0.0045   0.4451   0.4098
  -1.750  -0.2111   0.01559   0.00781   0.0039   0.4428   0.4115
  -1.500  -0.1810   0.01541   0.00768   0.0033   0.4404   0.4143
  -1.250  -0.1509   0.01537   0.00765   0.0028   0.4382   0.4166
  -1.000  -0.1206   0.01536   0.00765   0.0022   0.4360   0.4187
  -0.750  -0.0904   0.01537   0.00764   0.0017   0.4339   0.4208
  -0.500  -0.0603   0.01544   0.00767   0.0011   0.4314   0.4229
  -0.250  -0.0303   0.01556   0.00775   0.0006   0.4288   0.4250
   0.000  -0.0000   0.01553   0.00774   0.0000   0.4270   0.4270
   0.250   0.0302   0.01555   0.00775  -0.0006   0.4250   0.4288
   0.500   0.0603   0.01544   0.00767  -0.0011   0.4229   0.4314
   0.750   0.0904   0.01537   0.00764  -0.0017   0.4208   0.4339
   1.000   0.1206   0.01536   0.00765  -0.0022   0.4187   0.4360
   1.250   0.1508   0.01537   0.00765  -0.0028   0.4166   0.4382
   1.500   0.1810   0.01541   0.00768  -0.0033   0.4143   0.4404
   1.750   0.2111   0.01559   0.00781  -0.0039   0.4115   0.4428
   2.000   0.2411   0.01565   0.00789  -0.0045   0.4098   0.4451
   2.250   0.2710   0.01569   0.00794  -0.0050   0.4081   0.4471
   2.500   0.3009   0.01570   0.00796  -0.0055   0.4060   0.4489
   2.750   0.3305   0.01560   0.00791  -0.0060   0.4038   0.4520
   3.000   0.3602   0.01558   0.00793  -0.0064   0.4016   0.4544
   3.250   0.3901   0.01560   0.00796  -0.0069   0.3995   0.4569
   3.500   0.4198   0.01566   0.00802  -0.0074   0.3975   0.4595
   3.750   0.4497   0.01580   0.00812  -0.0080   0.3952   0.4621
   4.000   0.4792   0.01598   0.00829  -0.0085   0.3929   0.4646
   4.250   0.5081   0.01601   0.00836  -0.0088   0.3911   0.4667
   4.500   0.5372   0.01607   0.00845  -0.0092   0.3890   0.4686
   4.750   0.5658   0.01602   0.00846  -0.0095   0.3868   0.4721
   5.000   0.5946   0.01604   0.00852  -0.0099   0.3846   0.4751
   5.250   0.6234   0.01608   0.00858  -0.0102   0.3824   0.4780
   5.500   0.6523   0.01616   0.00866  -0.0106   0.3804   0.4809
   5.750   0.6814   0.01634   0.00880  -0.0110   0.3780   0.4838
   6.000   0.7095   0.01651   0.00898  -0.0113   0.3758   0.4864
