  
       XFOIL         Version 6.99
  
 Calculated polar for: EPPLER EA 8(-1)-006 AIRFOIL                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.2426   0.00987   0.00323   0.0040   0.9899   0.0631
  -1.750  -0.1978   0.00930   0.00273   0.0002   0.9827   0.0650
  -1.500  -0.1530   0.00890   0.00240  -0.0034   0.9730   0.0667
  -1.250  -0.1126   0.00859   0.00209  -0.0059   0.9482   0.0684
  -1.000  -0.0800   0.00839   0.00182  -0.0064   0.8979   0.0700
  -0.750  -0.0585   0.00841   0.00156  -0.0045   0.8065   0.0722
  -0.500  -0.0448   0.00943   0.00143  -0.0014   0.4957   0.0741
  -0.250  -0.0247   0.01047   0.00144  -0.0005   0.1941   0.0764
   0.000  -0.0000   0.01082   0.00143   0.0000   0.0806   0.0806
   0.250   0.0246   0.01047   0.00144   0.0005   0.0763   0.1948
   0.500   0.0447   0.00943   0.00143   0.0014   0.0741   0.4970
   0.750   0.0584   0.00841   0.00156   0.0045   0.0722   0.8071
   1.000   0.0799   0.00839   0.00182   0.0064   0.0699   0.8991
   1.250   0.1127   0.00859   0.00209   0.0058   0.0684   0.9484
   1.500   0.1534   0.00891   0.00240   0.0033   0.0667   0.9732
   1.750   0.1977   0.00930   0.00273  -0.0002   0.0650   0.9825
   2.000   0.2430   0.00987   0.00323  -0.0041   0.0631   0.9900
   2.250   0.2884   0.01023   0.00358  -0.0079   0.0622   0.9964
   2.500   0.3277   0.01061   0.00394  -0.0105   0.0611   1.0000
   2.750   0.3490   0.01097   0.00429  -0.0092   0.0605   1.0000
   3.000   0.3704   0.01136   0.00468  -0.0080   0.0595   1.0000
   3.250   0.3919   0.01183   0.00511  -0.0068   0.0582   1.0000
   3.500   0.4137   0.01252   0.00575  -0.0057   0.0573   1.0000
   3.750   0.4361   0.01362   0.00680  -0.0047   0.0566   1.0000
   4.000   0.4587   0.01387   0.00716  -0.0035   0.0560   1.0000
   4.250   0.4814   0.01396   0.00743  -0.0024   0.0529   1.0000
   4.500   0.5039   0.01430   0.00775  -0.0015   0.0491   1.0000
   4.750   0.5261   0.01534   0.00886  -0.0006   0.0461   1.0000
   5.000   0.5497   0.01500   0.00861   0.0002   0.0427   1.0000
   5.250   0.5730   0.01502   0.00859   0.0009   0.0403   1.0000
   5.500   0.5972   0.01472   0.00843   0.0017   0.0366   1.0000
   5.750   0.6238   0.01369   0.00750   0.0020   0.0326   1.0000
   6.000   0.6535   0.01262   0.00643   0.0019   0.0255   1.0000
