  
       XFOIL         Version 6.99
  
 Calculated polar for: EH 0.0/9.0                                      
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.2217   0.00609   0.00180  -0.0028   0.9672   0.6388
  -1.750  -0.1878   0.00592   0.00173  -0.0039   0.9588   0.6731
  -1.500  -0.1572   0.00578   0.00168  -0.0043   0.9474   0.7029
  -1.250  -0.1283   0.00566   0.00162  -0.0042   0.9345   0.7312
  -1.000  -0.1012   0.00556   0.00159  -0.0037   0.9201   0.7580
  -0.750  -0.0755   0.00549   0.00156  -0.0029   0.9040   0.7828
  -0.500  -0.0503   0.00544   0.00154  -0.0019   0.8861   0.8058
  -0.250  -0.0251   0.00542   0.00152  -0.0010   0.8676   0.8276
   0.000   0.0000   0.00540   0.00152  -0.0000   0.8477   0.8477
   0.250   0.0251   0.00542   0.00152   0.0010   0.8276   0.8676
   0.500   0.0503   0.00544   0.00154   0.0019   0.8057   0.8861
   0.750   0.0756   0.00549   0.00156   0.0029   0.7827   0.9040
   1.000   0.1013   0.00556   0.00159   0.0037   0.7580   0.9201
   1.250   0.1284   0.00566   0.00162   0.0042   0.7311   0.9346
   1.500   0.1573   0.00578   0.00168   0.0043   0.7032   0.9474
   1.750   0.1878   0.00592   0.00173   0.0039   0.6732   0.9588
   2.000   0.2217   0.00609   0.00180   0.0028   0.6387   0.9672
   2.250   0.2570   0.00628   0.00187   0.0013   0.6013   0.9739
   2.500   0.2940   0.00649   0.00196  -0.0007   0.5605   0.9792
   2.750   0.3303   0.00673   0.00205  -0.0026   0.5148   0.9846
   3.000   0.3685   0.00698   0.00214  -0.0049   0.4665   0.9890
   3.250   0.4045   0.00730   0.00228  -0.0069   0.4108   0.9941
   3.500   0.4423   0.00765   0.00240  -0.0093   0.3467   0.9981
   3.750   0.4715   0.00798   0.00254  -0.0100   0.2964   1.0000
   4.000   0.4925   0.00829   0.00270  -0.0089   0.2530   1.0000
   4.250   0.5133   0.00867   0.00290  -0.0077   0.2066   1.0000
   4.500   0.5339   0.00913   0.00317  -0.0066   0.1572   1.0000
   4.750   0.5548   0.00960   0.00345  -0.0055   0.1139   1.0000
   5.000   0.5756   0.01014   0.00381  -0.0043   0.0739   1.0000
   5.250   0.5961   0.01080   0.00430  -0.0031   0.0412   1.0000
   5.500   0.6177   0.01135   0.00483  -0.0019   0.0298   1.0000
   5.750   0.6384   0.01212   0.00564  -0.0006   0.0234   1.0000
   6.000   0.6604   0.01268   0.00630   0.0006   0.0204   1.0000
