  
       XFOIL         Version 6.99
  
 Calculated polar for: Eh 1.0/7.0                                      
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.1773   0.00704   0.00171  -0.0017   0.9802   0.2982
  -1.750  -0.1501   0.00546   0.00153  -0.0024   0.9640   0.6688
  -1.500  -0.1237   0.00494   0.00160  -0.0014   0.9443   0.8422
  -1.250  -0.0962   0.00487   0.00155  -0.0006   0.9186   0.8844
  -1.000  -0.0714   0.00490   0.00153   0.0007   0.8891   0.9166
  -0.750  -0.0448   0.00499   0.00151   0.0016   0.8593   0.9381
  -0.500  -0.0155   0.00510   0.00148   0.0018   0.8302   0.9539
  -0.250   0.0182   0.00524   0.00147   0.0009   0.8010   0.9670
   0.000   0.0600   0.00540   0.00147  -0.0018   0.7716   0.9763
   0.250   0.1107   0.00559   0.00150  -0.0065   0.7417   0.9865
   0.500   0.1537   0.00572   0.00149  -0.0098   0.7123   0.9936
   0.750   0.1918   0.00579   0.00143  -0.0121   0.6838   0.9977
   1.000   0.2235   0.00586   0.00137  -0.0131   0.6563   1.0000
   1.250   0.2465   0.00592   0.00133  -0.0122   0.6311   1.0000
   1.500   0.2698   0.00599   0.00131  -0.0114   0.6077   1.0000
   1.750   0.2934   0.00606   0.00131  -0.0106   0.5864   1.0000
   2.000   0.3170   0.00615   0.00135  -0.0098   0.5656   1.0000
   2.250   0.3409   0.00625   0.00139  -0.0091   0.5436   1.0000
   2.500   0.3649   0.00637   0.00145  -0.0084   0.5210   1.0000
   2.750   0.3890   0.00650   0.00152  -0.0076   0.4984   1.0000
   3.000   0.4132   0.00664   0.00161  -0.0070   0.4762   1.0000
   3.250   0.4376   0.00680   0.00175  -0.0063   0.4525   1.0000
   3.500   0.4617   0.00701   0.00186  -0.0056   0.4162   1.0000
   3.750   0.4855   0.00729   0.00198  -0.0050   0.3679   1.0000
   4.000   0.5091   0.00765   0.00215  -0.0043   0.3149   1.0000
   4.250   0.5329   0.00804   0.00237  -0.0037   0.2623   1.0000
   4.500   0.5537   0.00903   0.00279  -0.0029   0.1349   1.0000
   4.750   0.5729   0.01055   0.00376  -0.0017   0.0205   1.0000
   5.000   0.5967   0.01120   0.00456  -0.0009   0.0161   1.0000
   5.250   0.6183   0.01233   0.00584   0.0003   0.0124   1.0000
   5.500   0.6417   0.01306   0.00666   0.0011   0.0111   1.0000
   5.750   0.6640   0.01412   0.00784   0.0022   0.0097   1.0000
   6.000   0.6855   0.01550   0.00936   0.0034   0.0091   1.0000
