  
       XFOIL         Version 6.99
  
 Calculated polar for: EH 2.5/10                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.0932   0.00982   0.00238  -0.0032   0.5907   0.0839
  -1.750  -0.0676   0.00968   0.00221  -0.0028   0.5657   0.1073
  -1.500  -0.0420   0.00951   0.00205  -0.0023   0.5448   0.1388
  -1.250  -0.0175   0.00918   0.00191  -0.0018   0.5284   0.2134
  -1.000  -0.0089   0.00734   0.00166   0.0013   0.5197   0.6574
  -0.750   0.0080   0.00687   0.00177   0.0043   0.5111   0.8346
  -0.500   0.0323   0.00686   0.00184   0.0057   0.5020   0.8890
  -0.250   0.0591   0.00692   0.00188   0.0063   0.4929   0.9127
   0.000   0.0876   0.00701   0.00190   0.0066   0.4845   0.9296
   0.250   0.1184   0.00713   0.00196   0.0063   0.4763   0.9435
   0.500   0.1519   0.00728   0.00205   0.0054   0.4681   0.9558
   0.750   0.1965   0.00751   0.00218   0.0022   0.4589   0.9634
   1.000   0.2393   0.00771   0.00226  -0.0008   0.4413   0.9697
   1.250   0.2911   0.00793   0.00238  -0.0057   0.4266   0.9748
   1.500   0.3269   0.00806   0.00243  -0.0074   0.4174   0.9803
   1.750   0.3612   0.00811   0.00241  -0.0089   0.4067   0.9825
   2.000   0.3966   0.00819   0.00238  -0.0107   0.3855   0.9844
   2.250   0.4313   0.00826   0.00238  -0.0123   0.3734   0.9868
   2.500   0.4648   0.00833   0.00239  -0.0137   0.3613   0.9896
   2.750   0.4963   0.00855   0.00242  -0.0148   0.3254   0.9925
   3.000   0.5298   0.00871   0.00245  -0.0163   0.2990   0.9946
   3.250   0.5640   0.00890   0.00249  -0.0180   0.2708   0.9969
   3.500   0.5983   0.00908   0.00256  -0.0197   0.2481   0.9993
   3.750   0.6237   0.00945   0.00271  -0.0197   0.2043   1.0000
   4.000   0.6397   0.01057   0.00326  -0.0183   0.0901   1.0000
   4.250   0.6575   0.01134   0.00376  -0.0169   0.0185   1.0000
   4.500   0.6787   0.01152   0.00393  -0.0158   0.0165   1.0000
   4.750   0.7000   0.01170   0.00412  -0.0147   0.0156   1.0000
   5.000   0.7211   0.01189   0.00432  -0.0135   0.0152   1.0000
   5.250   0.7423   0.01209   0.00453  -0.0124   0.0151   1.0000
   5.500   0.7636   0.01231   0.00481  -0.0113   0.0150   1.0000
   5.750   0.7848   0.01254   0.00507  -0.0102   0.0149   1.0000
   6.000   0.8061   0.01280   0.00537  -0.0091   0.0145   1.0000
