  
       XFOIL         Version 6.99
  
 Calculated polar for: Eiffel 385 (S.T. Ae)                            
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.5846   0.00997   0.00285  -0.1072   0.5865   0.2550
  -1.750   0.6112   0.00999   0.00288  -0.1068   0.5808   0.2586
  -1.500   0.6376   0.00997   0.00290  -0.1064   0.5747   0.2620
  -1.250   0.6641   0.01000   0.00291  -0.1059   0.5686   0.2654
  -1.000   0.6903   0.01000   0.00294  -0.1055   0.5623   0.2696
  -0.750   0.7162   0.00998   0.00298  -0.1050   0.5553   0.2755
  -0.500   0.7422   0.01003   0.00302  -0.1046   0.5490   0.2836
  -0.250   0.7679   0.00998   0.00309  -0.1041   0.5416   0.2978
   0.000   0.7930   0.01000   0.00317  -0.1035   0.5339   0.3218
   0.250   0.8182   0.00998   0.00328  -0.1029   0.5245   0.3577
   0.500   0.8427   0.01002   0.00335  -0.1022   0.5152   0.3863
   1.000   0.8916   0.01004   0.00350  -0.1008   0.4936   0.4321
   1.250   0.9148   0.01007   0.00359  -0.0999   0.4823   0.4613
   1.500   0.9314   0.00964   0.00378  -0.0978   0.4698   0.6915
   2.250   1.0410   0.00989   0.00435  -0.1040   0.4207   1.0000
   2.500   1.0630   0.01013   0.00453  -0.1029   0.4063   1.0000
   2.750   1.0852   0.01038   0.00472  -0.1019   0.3925   1.0000
   3.000   1.1070   0.01065   0.00493  -0.1009   0.3790   1.0000
   3.250   1.1283   0.01093   0.00515  -0.0998   0.3658   1.0000
   3.500   1.1492   0.01122   0.00539  -0.0986   0.3532   1.0000
   3.750   1.1695   0.01155   0.00565  -0.0974   0.3407   1.0000
   4.000   1.1902   0.01184   0.00590  -0.0962   0.3291   1.0000
   4.250   1.2113   0.01211   0.00616  -0.0951   0.3192   1.0000
   4.500   1.2306   0.01245   0.00645  -0.0937   0.3096   1.0000
   4.750   1.2508   0.01272   0.00672  -0.0925   0.2998   1.0000
   5.000   1.2688   0.01304   0.00701  -0.0909   0.2890   1.0000
   5.250   1.2851   0.01340   0.00734  -0.0890   0.2778   1.0000
   5.500   1.3020   0.01376   0.00766  -0.0872   0.2655   1.0000
   5.750   1.3185   0.01414   0.00802  -0.0855   0.2516   1.0000
   6.000   1.3334   0.01461   0.00842  -0.0835   0.2358   1.0000
